CHANNEL 	EVENT   	CLIP NAME                     	START TIME    	END TIME      	DURATION      	STATE
1       	1       	Exhale                        	   00:00:07:16	   00:00:11:22	   00:00:04:06	Unmuted
1       	2       	Exhale                        	   00:00:15:04	   00:00:19:16	   00:00:04:11	Unmuted
1       	3       	Exhale                        	   00:00:23:14	   00:00:27:23	   00:00:04:08	Unmuted
1       	4       	Exhale                        	   00:00:31:10	   00:00:35:19	   00:00:04:08	Unmuted
1       	5       	Exhale                        	   00:00:38:29	   00:00:43:10	   00:00:04:11	Unmuted
1       	6       	Exhale                        	   00:00:46:20	   00:00:50:25	   00:00:04:05	Unmuted
1       	7       	Exhale                        	   00:00:54:17	   00:00:58:13	   00:00:03:25	Unmuted
1       	8       	Exhale                        	   00:01:01:10	   00:01:05:02	   00:00:03:22	Unmuted
1       	9       	Exhale                        	   00:01:08:01	   00:01:11:21	   00:00:03:19	Unmuted
1       	10      	Exhale                        	   00:01:15:23	   00:01:20:01	   00:00:04:08	Unmuted
1       	11      	Exhale                        	   00:01:23:11	   00:01:27:24	   00:00:04:12	Unmuted
1       	12      	Exhale                        	   00:01:31:20	   00:01:36:02	   00:00:04:11	Unmuted
1       	13      	Exhale                        	   00:01:39:16	   00:01:43:26	   00:00:04:09	Unmuted
1       	14      	Exhale                        	   00:01:47:09	   00:01:51:17	   00:00:04:07	Unmuted
1       	15      	Exhale                        	   00:01:55:00	   00:01:59:01	   00:00:04:00	Unmuted
1       	16      	Exhale                        	   00:02:02:20	   00:02:06:23	   00:00:04:02	Unmuted
1       	17      	Exhale                        	   00:02:09:18	   00:02:13:15	   00:00:03:27	Unmuted
1       	18      	Exhale                        	   00:02:16:12	   00:02:20:06	   00:00:03:23	Unmuted
1       	19      	Exhale                        	   00:02:23:05	   00:02:26:23	   00:00:03:17	Unmuted
1       	20      	Exhale                        	   00:02:30:22	   00:02:35:02	   00:00:04:10	Unmuted
1       	21      	Exhale                        	   00:02:38:15	   00:02:42:27	   00:00:04:11	Unmuted
1       	22      	Exhale                        	   00:02:46:19	   00:02:51:02	   00:00:04:13	Unmuted
1       	23      	Exhale                        	   00:02:54:20	   00:02:59:00	   00:00:04:09	Unmuted
1       	24      	Exhale                        	   00:03:06:09	   00:03:10:17	   00:00:04:07	Unmuted
1       	25      	Exhale                        	   00:03:18:22	   00:03:23:04	   00:00:04:11	Unmuted
1       	26      	Exhale                        	   00:03:31:02	   00:03:35:05	   00:00:04:03	Unmuted
1       	27      	Exhale                        	   00:03:43:19	   00:03:47:23	   00:00:04:04	Unmuted
1       	28      	Exhale                        	   00:03:55:26	   00:03:59:26	   00:00:04:00	Unmuted
1       	29      	Exhale                        	   00:04:08:10	   00:04:12:13	   00:00:04:03	Unmuted
1       	30      	Exhale                        	   00:04:20:14	   00:04:24:07	   00:00:03:22	Unmuted
1       	31      	Exhale                        	   00:04:32:10	   00:04:36:06	   00:00:03:25	Unmuted
1       	32      	Exhale                        	   00:04:43:22	   00:04:47:09	   00:00:03:16	Unmuted
1       	33      	Exhale                        	   00:04:55:04	   00:04:58:27	   00:00:03:22	Unmuted
1       	34      	Exhale                        	   00:05:06:25	   00:05:10:11	   00:00:03:16	Unmuted
1       	35      	Exhale                        	   00:05:17:15	   00:05:21:14	   00:00:03:28	Unmuted
1       	36      	Exhale                        	   00:05:29:09	   00:05:33:01	   00:00:03:22	Unmuted
1       	37      	Exhale                        	   00:05:42:25	   00:05:46:13	   00:00:03:17	Unmuted
1       	38      	Exhale                        	   00:05:55:19	   00:05:59:15	   00:00:03:26	Unmuted
1       	39      	Exhale                        	   00:06:08:03	   00:06:12:01	   00:00:03:27	Unmuted
1       	40      	Exhale                        	   00:06:21:24	   00:06:26:24	   00:00:04:29	Unmuted
1       	41      	Exhale                        	   00:06:38:14	   00:06:45:08	   00:00:06:23	Unmuted
1       	42      	Exhale                        	   00:07:01:12	   00:07:08:29	   00:00:07:16	Unmuted
1       	43      	Exhale                        	   00:07:30:23	   00:07:42:10	   00:00:11:16	Unmuted
1       	44      	Exhale                        	   00:08:11:07	   00:08:27:06	   00:00:15:28	Unmuted
1       	45      	Exhale                        	   00:09:16:11	   00:09:36:00	   00:00:19:18	Unmuted
1       	46      	Exhale                        	   00:10:05:29	   00:10:15:29	   00:00:09:29	Unmuted
1       	47      	Exhale                        	   00:10:36:06	   00:10:43:18	   00:00:07:12	Unmuted
1       	48      	Exhale                        	   00:10:57:19	   00:11:02:26	   00:00:05:06	Unmuted
1       	49      	Exhale                        	   00:11:14:16	   00:11:19:07	   00:00:04:21	Unmuted
1       	50      	Exhale                        	   00:11:28:16	   00:11:32:27	   00:00:04:10	Unmuted
1       	51      	Exhale-01                     	   00:11:39:28	   00:11:44:03	   00:00:04:05	Unmuted
1       	52      	Exhale-04                     	   00:11:48:10	   00:11:52:15	   00:00:04:04	Unmuted


