index,TRACK NAME,CLIP NAME,START TIME,frame
45,Clang Inst.1.cm (Stereo),Clang Inst.1.cm-02.L,0:15,450
46,Clang Inst.1.cm (Stereo),Clang Inst.1.cm-04.L,0:18,540
47,Clang Inst.1.cm (Stereo),Clang Inst.1.cm-06.L,0:22,660
48,Clang Inst.1.cm (Stereo),Clang Inst.1.cm-08.L,0:35,1050
49,Clang Inst.1.cm (Stereo),Clang Inst.1.cm-10.L,0:47,1410
50,Clang Inst.1.cm (Stereo),Clang Inst.1.cm-12.L,1:05,1950
51,Clang Inst.1.cm (Stereo),Clang Inst.1.cm-14.L,1:14,2220
52,Clang Inst.1.cm (Stereo),Clang Inst.1.cm-16.L,1:25,2550
53,Clang Inst.1.cm (Stereo),Clang Inst.1.cm-18.L,1:44,3120
54,Clang Inst.1.cm (Stereo),Clang Inst.1.cm-20.L,1:58,3540
55,Clang Inst.1.cm (Stereo),Clang Inst.1.cm-22.L,2:10,3900
56,Clang Inst.1.cm (Stereo),Clang Inst.1.cm-24.L,2:21,4230
57,Clang Inst.1.cm (Stereo),Clang Inst.1.cm-26.L,2:36,4680
58,Clang Inst.1.cm (Stereo),Clang Inst.1.cm-28.L,3:03,5490
59,Clang Inst.1.cm (Stereo),Clang Inst.1.cm-30.L,3:06,5580
3,P3 Alien Fish Chatter Ab (Stereo),P3 Alien Fish Chatter Ab-Mldy-01.L,3:12,5760
60,Clang Inst.1.cm (Stereo),Clang Inst.1.cm-32.L,3:14,5820
4,P3 Alien Fish Chatter Ab (Stereo),P3 Alien Fish Chatter Ab-Mldy-02.L,3:17,5910
61,Clang Inst.1.cm (Stereo),Clang Inst.1.cm-34.L,3:26,6180
5,P3 Alien Fish Chatter Ab (Stereo),P3 Alien Fish Chatter Ab-Mldy-03.L,3:26,6180
6,P3 Alien Fish Chatter Ab (Stereo),P3 Alien Fish Chatter Ab-Mldy-04.L,3:28,6240
7,P3 Alien Fish Chatter Ab (Stereo),P3 Alien Fish Chatter Ab-Mldy-05.L,3:37,6510
8,P3 Alien Fish Chatter Ab (Stereo),P3 Alien Fish Chatter Ab-Mldy-06.L,3:48,6840
