CHANNEL 	EVENT   	CLIP NAME                     	START TIME    	END TIME      	DURATION      	STATE
1       	1       	Inhale                        	   00:00:03:07	   00:00:07:16	   00:00:04:09	Unmuted
1       	2       	Inhale                        	   00:00:11:22	   00:00:15:04	   00:00:03:11	Unmuted
1       	3       	Inhale                        	   00:00:19:16	   00:00:23:14	   00:00:03:28	Unmuted
1       	4       	Inhale                        	   00:00:27:23	   00:00:31:10	   00:00:03:16	Unmuted
1       	5       	Inhale                        	   00:00:35:19	   00:00:38:29	   00:00:03:10	Unmuted
1       	6       	Inhale                        	   00:00:43:10	   00:00:46:20	   00:00:03:09	Unmuted
1       	7       	Inhale                        	   00:00:50:25	   00:00:54:17	   00:00:03:22	Unmuted
1       	8       	Inhale                        	   00:00:58:13	   00:01:01:10	   00:00:02:26	Unmuted
1       	9       	Inhale                        	   00:01:05:02	   00:01:08:01	   00:00:02:28	Unmuted
1       	10      	Inhale                        	   00:01:11:21	   00:01:15:23	   00:00:04:02	Unmuted
1       	11      	Inhale                        	   00:01:20:01	   00:01:23:11	   00:00:03:10	Unmuted
1       	12      	Inhale                        	   00:01:27:24	   00:01:31:20	   00:00:03:26	Unmuted
1       	13      	Inhale                        	   00:01:36:02	   00:01:39:16	   00:00:03:14	Unmuted
1       	14      	Inhale                        	   00:01:43:26	   00:01:47:09	   00:00:03:13	Unmuted
1       	15      	Inhale                        	   00:01:51:17	   00:01:55:00	   00:00:03:13	Unmuted
1       	16      	Inhale                        	   00:01:59:01	   00:02:02:20	   00:00:03:19	Unmuted
1       	17      	Inhale                        	   00:02:06:23	   00:02:09:18	   00:00:02:24	Unmuted
1       	18      	Inhale                        	   00:02:13:15	   00:02:16:12	   00:00:02:27	Unmuted
1       	19      	Inhale                        	   00:02:20:06	   00:02:23:05	   00:00:02:29	Unmuted
1       	20      	Inhale                        	   00:02:26:23	   00:02:30:22	   00:00:03:29	Unmuted
1       	21      	Inhale                        	   00:02:35:02	   00:02:38:15	   00:00:03:13	Unmuted
1       	22      	Inhale                        	   00:02:42:27	   00:02:46:19	   00:00:03:21	Unmuted
1       	23      	Inhale                        	   00:02:51:02	   00:02:54:20	   00:00:03:18	Unmuted
1       	24      	Inhale                        	   00:02:59:00	   00:03:02:12	   00:00:03:12	Unmuted
1       	25      	Inhale                        	   00:03:10:29	   00:03:14:13	   00:00:03:14	Unmuted
1       	26      	Inhale                        	   00:03:23:07	   00:03:26:22	   00:00:03:14	Unmuted
1       	27      	Inhale                        	   00:03:35:22	   00:03:39:12	   00:00:03:20	Unmuted
1       	28      	Inhale                        	   00:03:48:04	   00:03:51:26	   00:00:03:22	Unmuted
1       	29      	Inhale                        	   00:04:00:14	   00:04:04:00	   00:00:03:15	Unmuted
1       	30      	Inhale                        	   00:04:12:23	   00:04:16:06	   00:00:03:13	Unmuted
1       	31      	Inhale                        	   00:04:24:26	   00:04:28:04	   00:00:03:08	Unmuted
1       	32      	Inhale                        	   00:04:36:16	   00:04:39:28	   00:00:03:12	Unmuted
1       	33      	Inhale                        	   00:04:47:27	   00:04:50:27	   00:00:02:29	Unmuted
1       	34      	Inhale                        	   00:04:59:15	   00:05:02:28	   00:00:03:12	Unmuted
1       	35      	Inhale                        	   00:05:11:01	   00:05:14:07	   00:00:03:06	Unmuted
1       	36      	Inhale                        	   00:05:21:25	   00:05:24:26	   00:00:03:00	Unmuted
1       	37      	Inhale                        	   00:05:33:20	   00:05:37:01	   00:00:03:10	Unmuted
1       	38      	Inhale                        	   00:05:47:13	   00:05:51:00	   00:00:03:17	Unmuted
1       	39      	Inhale                        	   00:06:00:02	   00:06:03:19	   00:00:03:16	Unmuted
1       	40      	Inhale                        	   00:06:12:28	   00:06:16:17	   00:00:03:18	Unmuted
1       	41      	Inhale                        	   00:06:27:17	   00:06:31:26	   00:00:04:08	Unmuted
1       	42      	Inhale                        	   00:06:46:04	   00:06:52:11	   00:00:06:06	Unmuted
1       	43      	Inhale                        	   00:07:11:05	   00:07:18:26	   00:00:07:21	Unmuted
1       	44      	Inhale                        	   00:07:43:21	   00:07:54:26	   00:00:11:05	Unmuted
1       	45      	Inhale                        	   00:08:30:13	   00:08:47:26	   00:00:17:12	Unmuted
1       	46      	Inhale                        	   00:09:37:13	   00:09:51:10	   00:00:13:27	Unmuted
1       	47      	Inhale                        	   00:10:17:26	   00:10:27:02	   00:00:09:05	Unmuted
1       	48      	Inhale                        	   00:10:44:08	   00:10:50:12	   00:00:06:04	Unmuted
1       	49      	Inhale                        	   00:11:04:00	   00:11:08:27	   00:00:04:27	Unmuted
1       	50      	Inhale                        	   00:11:19:25	   00:11:23:28	   00:00:04:02	Unmuted
1       	51      	Inhale                        	   00:11:33:04	   00:11:36:23	   00:00:03:18	Unmuted
1       	52      	Inhale-03                     	   00:11:44:03	   00:11:48:10	   00:00:04:07	Unmuted


