CHANNEL 	EVENT   	CLIP NAME                     	START TIME    	END TIME      	DURATION      	STATE
1       	2       	Heart Beat.01_01-11           	   00:00:03:12	   00:00:03:28	   00:00:00:16	Unmuted
1       	3       	Heart Beat.01_01-15           	   00:00:03:29	   00:00:04:07	   00:00:00:08	Unmuted
1       	4       	Heart Beat.01_01-19           	   00:00:04:07	   00:00:04:25	   00:00:00:17	Unmuted
1       	5       	Heart Beat.01_01-29           	   00:00:04:25	   00:00:06:16	   00:00:01:20	Unmuted
1       	6       	Heart Beat.01_01-35           	   00:00:06:16	   00:00:06:24	   00:00:00:07	Unmuted
1       	7       	Heart Beat.01_01-41           	   00:00:06:24	   00:00:09:03	   00:00:02:08	Unmuted
1       	8       	Heart Beat.01_01-45           	   00:00:09:03	   00:00:09:12	   00:00:00:08	Unmuted
1       	9       	Heart Beat.01_01-47           	   00:00:09:12	   00:00:09:29	   00:00:00:16	Unmuted
1       	10      	Heart Beat.01_01-49           	   00:00:09:29	   00:00:10:06	   00:00:00:06	Unmuted
1       	11      	Heart Beat.01_01-90           	   00:00:10:06	   00:00:17:28	   00:00:07:22	Unmuted
1       	12      	Heart Beat.01_01-91           	   00:00:17:29	   00:00:18:16	   00:00:00:17	Unmuted
1       	13      	Heart Beat.01_01-117          	   00:00:18:17	   00:00:31:20	   00:00:13:03	Unmuted
1       	14      	Heart Beat.01_01-118          	   00:00:31:20	   00:00:32:07	   00:00:00:16	Unmuted
1       	15      	Heart Beat.01_01-147          	   00:00:32:07	   00:00:45:11	   00:00:13:03	Unmuted
1       	16      	Heart Beat.01_01-148          	   00:00:45:11	   00:00:45:29	   00:00:00:17	Unmuted
1       	17      	Heart Beat.01_01-161          	   00:00:46:00	   00:00:59:03	   00:00:13:03	Unmuted
1       	18      	Heart Beat.01_01-44           	   00:00:59:04	   00:00:59:21	   00:00:00:16	Unmuted
1       	19      	Heart Beat.01_01-164          	   00:00:59:21	   00:01:12:24	   00:00:13:03	Unmuted
1       	20      	Heart Beat.01_01-163          	   00:01:12:25	   00:01:13:12	   00:00:00:17	Unmuted
1       	21      	Heart Beat.01_01-166          	   00:01:13:12	   00:01:26:15	   00:00:13:02	Unmuted
1       	22      	Heart Beat.01_01-165          	   00:01:26:16	   00:01:27:03	   00:00:00:17	Unmuted
1       	23      	Heart Beat.01_01-162          	   00:01:27:03	   00:01:33:01	   00:00:05:28	Unmuted
1       	24      	Heart Beat.01_01-167          	   00:01:33:03	   00:01:33:11	   00:00:00:07	Unmuted
1       	25      	Heart Beat.01_01-168          	   00:01:33:12	   00:01:33:29	   00:00:00:17	Unmuted
1       	26      	Heart Beat.01_01-169          	   00:01:33:29	   00:01:34:08	   00:00:00:08	Unmuted
1       	27      	Heart Beat.01_01-36           	   00:01:34:08	   00:01:34:25	   00:00:00:16	Unmuted
1       	28      	Heart Beat.01_01-38           	   00:01:34:26	   00:01:35:03	   00:00:00:07	Unmuted
1       	29      	Heart Beat.01_01-72           	   00:01:35:04	   00:01:35:21	   00:00:00:16	Unmuted
1       	30      	Heart Beat.01_01-42           	   00:01:35:21	   00:01:35:29	   00:00:00:08	Unmuted
1       	31      	Heart Beat.01_01-67           	   00:01:36:00	   00:01:36:16	   00:00:00:16	Unmuted
1       	32      	Heart Beat.01_01-46           	   00:01:36:17	   00:01:36:25	   00:00:00:08	Unmuted
1       	33      	Heart Beat.01_01-68           	   00:01:36:26	   00:01:37:12	   00:00:00:16	Unmuted
1       	34      	Heart Beat.01_01-50           	   00:01:37:12	   00:01:37:21	   00:00:00:08	Unmuted
1       	35      	Heart Beat.01_01-52           	   00:01:37:21	   00:01:38:08	   00:00:00:16	Unmuted
1       	36      	Heart Beat.01_01-54           	   00:01:38:08	   00:01:38:16	   00:00:00:08	Unmuted
1       	37      	Heart Beat.01_01-56           	   00:01:38:17	   00:01:39:03	   00:00:00:16	Unmuted
1       	38      	Heart Beat.01_01-70           	   00:01:39:04	   00:01:39:12	   00:00:00:07	Unmuted
1       	39      	Heart Beat.01_01-60           	   00:01:39:12	   00:01:39:29	   00:00:00:16	Unmuted
1       	40      	Heart Beat.01_01-71           	   00:01:40:00	   00:01:40:08	   00:00:00:07	Unmuted
1       	41      	Heart Beat.01_01-44           	   00:01:40:08	   00:01:40:25	   00:00:00:16	Unmuted
1       	42      	Heart Beat.01_01-02           	   00:01:40:25	   00:01:41:03	   00:00:00:08	Unmuted
1       	43      	Heart Beat.01_01-04           	   00:01:41:04	   00:01:41:21	   00:00:00:16	Unmuted
1       	44      	Heart Beat.01_01-06           	   00:01:41:21	   00:01:41:29	   00:00:00:08	Unmuted
1       	45      	Heart Beat.01_01-08           	   00:01:42:00	   00:01:42:16	   00:00:00:16	Unmuted
