time,points_index,t,y,x,y_image,x_image,CMI_C10
0,0,2020-12-06 00:07:28.761345920,0.057932004,0.022260003,0.08624,-0.03136,0.9444442617361744
0,1,2020-12-06 00:07:28.761345920,0.057932004,0.023323998,0.08624,-0.03136,0.930107509200275
0,2,2020-12-06 00:07:28.761345920,0.058996007,0.023323998,0.08624,-0.03136,0.9659504867896439
0,3,2020-12-06 00:07:28.761345920,0.060060002,0.023323998,0.08624,-0.03136,0.93369224545906
0,4,2020-12-06 00:07:28.761345920,0.060060002,0.022260003,0.08624,-0.03136,0.9354835173388322
0,5,2020-12-06 00:07:28.761345920,0.060060002,0.021196,0.08624,-0.03136,0.8584237465207778
0,6,2020-12-06 00:07:28.761345920,0.058996007,0.021196,0.08624,-0.03136,0.8530466421326002
0,7,2020-12-06 00:07:28.761345920,0.057932004,0.021196,0.08624,-0.03136,0.9247315010617178
1,0,2020-12-06 00:12:28.768483072,0.057932004,0.022260003,0.08624,-0.03136,0.9480289979949594
1,1,2020-12-06 00:12:28.768483072,0.057932004,0.023323998,0.08624,-0.03136,0.9408606217270097
1,2,2020-12-06 00:12:28.768483072,0.058996007,0.023323998,0.08624,-0.03136,0.9623657505308589
1,3,2020-12-06 00:12:28.768483072,0.060060002,0.023323998,0.08624,-0.03136,0.9283162373205028
1,4,2020-12-06 00:12:28.768483072,0.060060002,0.022260003,0.08624,-0.03136,0.93369224545906
1,5,2020-12-06 00:12:28.768483072,0.060060002,0.021196,0.08624,-0.03136,0.8387098895967007
1,6,2020-12-06 00:12:28.768483072,0.058996007,0.021196,0.08624,-0.03136,0.8960579959899189
1,7,2020-12-06 00:12:28.768483072,0.057932004,0.021196,0.08624,-0.03136,0.9247315010617178
2,0,2020-12-06 00:17:28.467237888,0.057932004,0.022260003,0.08624,-0.03136,0.9480289979949594
2,1,2020-12-06 00:17:28.467237888,0.057932004,0.023323998,0.08624,-0.03136,0.9462366298655669
2,2,2020-12-06 00:17:28.467237888,0.058996007,0.023323998,0.08624,-0.03136,0.9623657505308589
2,3,2020-12-06 00:17:28.467237888,0.060060002,0.023323998,0.08624,-0.03136,0.9247315010617178
2,4,2020-12-06 00:17:28.467237888,0.060060002,0.022260003,0.08624,-0.03136,0.9265227729414899
2,5,2020-12-06 00:17:28.467237888,0.060060002,0.021196,0.08624,-0.03136,0.8584237465207778
2,6,2020-12-06 00:17:28.467237888,0.058996007,0.021196,0.08624,-0.03136,0.9014340041284761
2,7,2020-12-06 00:17:28.467237888,0.057932004,0.021196,0.08624,-0.03136,0.9211467648029327
3,0,2020-12-06 00:22:28.765787008,0.057932004,0.022260003,0.08624,-0.03136,0.9444442617361744
