CHANNEL,EVENT,CLIP NAME,START TIME,END TIME,DURATION,STATE,Frames
                        ,,,nan,,,,0
1       ,1.0,Breath.dup2 - From Brett.02_01-02,00:00:03:07,00:00:07:16,00:00:04:09,Unmuted,97
1       ,2.0,Breath.dup2 - From Brett.02_01-04,00:00:07:16,00:00:11:22,00:00:04:06,Unmuted,226
1       ,3.0,Breath.dup2 - From Brett.02_01-06,00:00:11:22,00:00:15:04,00:00:03:11,Unmuted,352
1       ,4.0,Breath.dup2 - From Brett.02_01-08,00:00:15:04,00:00:19:16,00:00:04:11,Unmuted,454
1       ,5.0,Breath.dup2 - From Brett.02_01-10,00:00:19:16,00:00:23:14,00:00:03:28,Unmuted,586
1       ,6.0,Breath.dup2 - From Brett.02_01-12,00:00:23:14,00:00:27:23,00:00:04:08,Unmuted,704
1       ,7.0,Breath.dup2 - From Brett.02_01-14,00:00:27:23,00:00:31:10,00:00:03:16,Unmuted,833
1       ,8.0,Breath.dup2 - From Brett.02_01-16,00:00:31:10,00:00:35:19,00:00:04:08,Unmuted,940
1       ,9.0,Breath.dup2 - From Brett.02_01-18,00:00:35:19,00:00:38:29,00:00:03:10,Unmuted,1069
1       ,10.0,Breath.dup2 - From Brett.02_01-20,00:00:38:29,00:00:43:10,00:00:04:11,Unmuted,1169
1       ,11.0,Breath.dup2 - From Brett.02_01-22,00:00:43:10,00:00:46:20,00:00:03:09,Unmuted,1300
1       ,12.0,Breath.dup2 - From Brett.02_01-24,00:00:46:20,00:00:50:25,00:00:04:05,Unmuted,1400
1       ,13.0,Breath.dup2 - From Brett.02_01-26,00:00:50:25,00:00:54:17,00:00:03:22,Unmuted,1525
1       ,14.0,Breath.dup2 - From Brett.02_01-28,00:00:54:17,00:00:58:13,00:00:03:25,Unmuted,1637
1       ,15.0,Breath.dup2 - From Brett.02_01-30,00:00:58:13,00:01:01:10,00:00:02:26,Unmuted,1753
1       ,16.0,Breath.dup2 - From Brett.02_01-32,00:01:01:10,00:01:05:02,00:00:03:22,Unmuted,1840
1       ,17.0,Breath.dup2 - From Brett.02_01-34,00:01:05:02,00:01:08:01,00:00:02:28,Unmuted,1952
