depth,lat,lon,getitem-be70884a9fcd6b8bb0d4bffa99fceec4
-0.5,25.012547,-79.979164,26.75346
-0.6201432,25.012547,-79.979164,26.754492
-0.74028635,25.012547,-79.979164,26.755524
-0.86042947,25.012547,-79.979164,26.756556
-0.98057264,25.012547,-79.979164,26.757586
-1.1007159,25.012547,-79.979164,26.758617
-1.2208589,25.012547,-79.979164,26.75965
-1.3410021,25.012547,-79.979164,26.760681
-1.4611453,25.012547,-79.979164,26.761713
-1.5812885,25.012547,-79.979164,26.76268
-1.7014316,25.012547,-79.979164,26.763033
-1.8215748,25.012547,-79.979164,26.763384
-1.9417179,25.012547,-79.979164,26.763735
-2.061861,25.012547,-79.979164,26.764086
-2.1820042,25.012547,-79.979164,26.764439
-2.3021474,25.012547,-79.979164,26.76479
-2.4222906,25.012547,-79.979164,26.76514
-2.5424337,25.012547,-79.979164,26.765491
-2.662577,25.012547,-79.979164,26.765844
-2.78272,25.012547,-79.979164,26.766195
-2.9028633,25.012547,-79.979164,26.766397
-3.0230064,25.012547,-79.979164,26.766592
-3.1431496,25.012547,-79.979164,26.766785
-3.2632928,25.012547,-79.979164,26.76698
-3.3834357,25.012547,-79.979164,26.767174
-3.503579,25.012547,-79.979164,26.767366
-3.623722,25.012547,-79.979164,26.767561
-3.7438653,25.012547,-79.979164,26.767754
-3.8640084,25.012547,-79.979164,26.767948
-3.9841516,25.012547,-79.979164,26.76814
-4.104295,25.012547,-79.979164,26.768335
-4.2244377,25.012547,-79.979164,26.76851
-4.344581,25.012547,-79.979164,26.768648
-4.4647245,25.012547,-79.979164,26.768787
-4.5848675,25.012547,-79.979164,26.768925
-4.7050104,25.012547,-79.979164,26.769064
-4.825154,25.012547,-79.979164,26.769201
-4.945297,25.012547,-79.979164,26.76934
-5.06544,25.012547,-79.979164,26.769478
-5.185583,25.012547,-79.979164,26.769615
-5.3057265,25.012547,-79.979164,26.769754
-5.4258695,25.012547,-79.979164,26.769892
-5.546013,25.012547,-79.979164,26.770031
-5.666156,25.012547,-79.979164,26.770168
-5.786299,25.012547,-79.979164,26.770306
-5.906442,25.012547,-79.979164,26.77041
-6.0265856,25.012547,-79.979164,26.770515
-6.1467285,25.012547,-79.979164,26.77062
-6.2668715,25.012547,-79.979164,26.770725
-6.387015,25.012547,-79.979164,26.77083
-6.507158,25.012547,-79.979164,26.770935
-6.627301,25.012547,-79.979164,26.771038
-6.747444,25.012547,-79.979164,26.771143
-6.8675876,25.012547,-79.979164,26.771248
-6.9877305,25.012547,-79.979164,26.771353
-7.107874,25.012547,-79.979164,26.771458
-7.228017,25.012547,-79.979164,26.771563
-7.3481603,25.012547,-79.979164,26.771667
-7.468303,25.012547,-79.979164,26.771772
-7.5884466,25.012547,-79.979164,26.771877
-7.7085896,25.012547,-79.979164,26.771961
-7.828733,25.012547,-79.979164,26.772043
-7.948876,25.012547,-79.979164,26.772123
-8.069019,25.012547,-79.979164,26.772205
-8.189162,25.012547,-79.979164,26.772287
-8.309305,25.012547,-79.979164,26.77237
-8.429449,25.012547,-79.979164,26.772451
-8.549592,25.012547,-79.979164,26.772533
-8.669735,25.012547,-79.979164,26.772615
-8.789878,25.012547,-79.979164,26.772697
-8.910021,25.012547,-79.979164,26.77278
-9.030165,25.012547,-79.979164,26.772861
-9.150308,25.012547,-79.979164,26.772943
-9.270451,25.012547,-79.979164,26.773026
-9.390594,25.012547,-79.979164,26.773108
-9.510737,25.012547,-79.979164,26.77319
-9.63088,25.012547,-79.979164,26.773272
-9.751023,25.012547,-79.979164,26.77334
-9.871166,25.012547,-79.979164,26.773403
-9.99131,25.012547,-79.979164,26.773468
-10.111453,25.012547,-79.979164,26.773533
-10.231596,25.012547,-79.979164,26.773596
-10.351739,25.012547,-79.979164,26.77366
