timestep,depth,Salinity
0,-0.5,35.867897
1,-0.61346734,35.867943
2,-0.7269346,35.86799
3,-0.8404019,35.868034
4,-0.9538692,35.86808
5,-1.0673366,35.868122
6,-1.1808038,35.868168
7,-1.2942711,35.868214
8,-1.4077384,35.86826
9,-1.5212058,35.868305
10,-1.6346731,35.868343
11,-1.7481403,35.86838
12,-1.8616077,35.868416
13,-1.975075,35.86845
14,-2.0885422,35.86849
15,-2.2020097,35.868523
16,-2.315477,35.868557
17,-2.428944,35.86859
18,-2.5424116,35.86863
19,-2.6558788,35.868664
20,-2.7693462,35.8687
21,-2.8828135,35.86874
22,-2.9962807,35.868782
23,-3.1097481,35.86882
24,-3.2232153,35.868862
25,-3.3366826,35.868904
26,-3.45015,35.868946
27,-3.5636172,35.868988
28,-3.6770844,35.86903
29,-3.790552,35.86907
30,-3.904019,35.86911
31,-4.0174866,35.869152
32,-4.130954,35.869194
33,-4.244421,35.869247
34,-4.357888,35.86931
35,-4.4713554,35.869373
36,-4.584823,35.86944
37,-4.6982903,35.8695
38,-4.8117576,35.869564
39,-4.925225,35.86963
40,-5.0386925,35.86969
41,-5.1521597,35.869755
42,-5.265627,35.86982
43,-5.379094,35.86988
44,-5.4925613,35.869946
45,-5.6060286,35.870007
46,-5.7194963,35.87007
47,-5.8329635,35.87017
48,-5.9464307,35.870308
49,-6.059898,35.87045
50,-6.173365,35.870586
51,-6.286833,35.870724
52,-6.4003,35.870865
53,-6.5137672,35.871002
54,-6.6272345,35.87114
55,-6.7407017,35.87128
56,-6.854169,35.871418
57,-6.9676366,35.871555
58,-7.081104,35.871693
59,-7.194571,35.871834
60,-7.308038,35.87197
61,-7.4215055,35.87211
62,-7.534973,35.87225
63,-7.6484404,35.872402
64,-7.7619076,35.87257
65,-7.875375,35.872738
66,-7.988842,35.87291
67,-8.10231,35.873077
68,-8.215776,35.873245
69,-8.329245,35.873417
70,-8.442711,35.873585
71,-8.556179,35.873753
72,-8.669646,35.87392
73,-8.7831135,35.874092
74,-8.896581,35.87426
75,-9.010048,35.874428
76,-9.123515,35.8746
77,-9.236982,35.874767
78,-9.35045,35.874935
79,-9.463917,35.875103
80,-9.577385,35.875275
81,-9.690852,35.875443
82,-9.804319,35.875614
83,-9.917787,35.87579
84,-10.031254,35.87596
85,-10.144721,35.876133
86,-10.258188,35.876305
87,-10.371655,35.876476
88,-10.485123,35.876648
89,-10.59859,35.87682
90,-10.712057,35.876995
91,-10.825525,35.877167
92,-10.9389925,35.87734
93,-11.05246,35.87751
94,-11.165927,35.87768
95,-11.279394,35.877853
96,-11.392861,35.878025
97,-11.506329,35.8782
98,-11.619796,35.878372
99,-11.733263,35.878544
100,-11.84673,35.878716
101,-11.960197,35.878887
102,-12.073666,35.87913
103,-12.187133,35.879433
104,-12.3006,35.879734
