,Unnamed: 0,timestep,depth,Salinity,Theta,U,V,W
0,0,0,-0.5,35.867897,26.47888,0.053823147,0.53549105,4.2393036e-05
1,1,1,-0.6504278,35.867958,26.479834,0.054393686,0.5351724,4.460014e-05
2,2,2,-0.8008557,35.868015,26.480785,0.054964226,0.53485376,4.6807243e-05
3,3,3,-0.9512836,35.868076,26.481739,0.055534765,0.53453517,4.9014347e-05
4,4,4,-1.1017114,35.868137,26.48269,0.056105305,0.5342165,5.122145e-05
5,5,5,-1.2521392,35.8682,26.483644,0.056675844,0.5338979,5.3428554e-05
6,6,6,-1.4025671,35.868256,26.484596,0.057246383,0.53357923,5.563566e-05
7,7,7,-1.552995,35.868317,26.48555,0.057816923,0.5332606,5.7842764e-05
8,8,8,-1.7034228,35.868366,26.48605,0.058129795,0.53302014,6.0016773e-05
9,9,9,-1.8538506,35.868412,26.486494,0.058409832,0.5327896,6.218656e-05
10,10,10,-2.0042784,35.86846,26.486938,0.058689866,0.5325591,6.435636e-05
11,11,11,-2.1547065,35.868507,26.487381,0.0589699,0.5323286,6.6526154e-05
12,12,12,-2.3051343,35.868553,26.487825,0.059249934,0.53209805,6.869595e-05
13,13,13,-2.455562,35.868603,26.48827,0.059529968,0.53186756,7.086574e-05
14,14,14,-2.60599,35.86865,26.488712,0.05981,0.5316371,7.303553e-05
15,15,15,-2.7564178,35.868694,26.489157,0.060090035,0.5314065,7.5205324e-05
16,16,16,-2.9068456,35.868748,26.48944,0.060316533,0.53117156,7.734527e-05
17,17,17,-3.0572734,35.8688,26.489677,0.060527645,0.5309352,7.947664e-05
18,18,18,-3.2077012,35.86886,26.489914,0.060738757,0.53069896,8.1608014e-05
19,19,19,-3.358129,35.86891,26.490152,0.060949866,0.5304626,8.373938e-05
20,20,20,-3.5085568,35.86897,26.490389,0.061160978,0.53022635,8.587075e-05
21,21,21,-3.658985,35.869022,26.490625,0.06137209,0.5299901,8.8002125e-05
22,22,22,-3.8094127,35.869076,26.490864,0.061583202,0.52975374,9.013349e-05
23,23,23,-3.9598405,35.869133,26.4911,0.06179431,0.5295175,9.226486e-05
24,24,24,-4.1102686,35.869186,26.491337,0.062005423,0.52928114,9.439624e-05
25,25,25,-4.2606964,35.869255,26.49147,0.06220463,0.52901703,9.650635e-05
26,26,26,-4.411124,35.86934,26.491499,0.062392086,0.52872545,9.8595476e-05
27,27,27,-4.561552,35.869423,26.49153,0.06257954,0.5284338,0.0001006846
28,28,28,-4.71198,35.869507,26.49156,0.062767,0.52814215,0.00010277373
29,29,29,-4.8624077,35.86959,26.491589,0.062954456,0.52785057,0.000104862855
30,30,30,-5.0128355,35.869675,26.49162,0.06314191,0.5275589,0.00010695198
31,31,31,-5.1632633,35.869762,26.491648,0.06332937,0.52726734,0.00010904111
32,32,32,-5.313691,35.869846,26.491678,0.063516825,0.5269757,0.00011113023
33,33,33,-5.464119,35.86993,26.491707,0.06370428,0.5266841,0.00011321936
34,34,34,-5.614547,35.870014,26.491737,0.06389174,0.52639246,0.00011530849
35,35,35,-5.7649746,35.8701,26.491766,0.064079195,0.5261009,0.00011739761
36,36,36,-5.9154024,35.87027,26.491308,0.064262174,0.5256967,0.00011941959
37,37,37,-6.06583,35.870453,26.490797,0.06444465,0.52528006,0.00012143411
38,38,38,-6.216258,35.87064,26.490284,0.06462714,0.5248634,0.00012344863
39,39,39,-6.366686,35.870823,26.489773,0.06480962,0.5244468,0.00012546315
40,40,40,-6.5171137,35.871006,26.489262,0.0649921,0.52403015,0.00012747767
41,41,41,-6.667542,35.87119,26.488749,0.06517459,0.5236135,0.00012949221
42,42,42,-6.81797,35.871372,26.488237,0.06535707,0.5231969,0.00013150673
43,43,43,-6.9683976,35.871555,26.487724,0.065539554,0.52278024,0.00013352124
44,44,44,-7.1188254,35.871742,26.487213,0.06572203,0.52236366,0.00013553577
45,45,45,-7.2692533,35.871925,26.4867,0.06590452,0.521947,0.00013755029
46,46,46,-7.419681,35.87211,26.486189,0.066087,0.5215304,0.00013956481
47,47,47,-7.570109,35.87229,26.485676,0.06626948,0.52111375,0.00014157934
48,48,48,-7.7205367,35.87251,26.484264,0.06645632,0.52057946,0.00014345316
49,49,49,-7.8709645,35.872734,26.482676,0.06664403,0.52002186,0.00014529907
50,50,50,-8.021393,35.872955,26.481085,0.06683173,0.5194642,0.00014714498
