timestep,depth,Theta
0,-0.5,26.47888
1,-0.6504278,26.479834
2,-0.8008557,26.480785
3,-0.9512836,26.481739
4,-1.1017114,26.48269
5,-1.2521392,26.483644
6,-1.4025671,26.484596
7,-1.552995,26.48555
8,-1.7034228,26.48605
9,-1.8538506,26.486494
10,-2.0042784,26.486938
11,-2.1547065,26.487381
12,-2.3051343,26.487825
13,-2.455562,26.48827
14,-2.60599,26.488712
15,-2.7564178,26.489157
16,-2.9068456,26.48944
17,-3.0572734,26.489677
18,-3.2077012,26.489914
19,-3.358129,26.490152
20,-3.5085568,26.490389
21,-3.658985,26.490625
22,-3.8094127,26.490864
23,-3.9598405,26.4911
24,-4.1102686,26.491337
25,-4.2606964,26.49147
26,-4.411124,26.491499
27,-4.561552,26.49153
28,-4.71198,26.49156
29,-4.8624077,26.491589
30,-5.0128355,26.49162
31,-5.1632633,26.491648
32,-5.313691,26.491678
33,-5.464119,26.491707
34,-5.614547,26.491737
35,-5.7649746,26.491766
36,-5.9154024,26.491308
37,-6.06583,26.490797
38,-6.216258,26.490284
39,-6.366686,26.489773
40,-6.5171137,26.489262
41,-6.667542,26.488749
42,-6.81797,26.488237
43,-6.9683976,26.487724
44,-7.1188254,26.487213
45,-7.2692533,26.4867
46,-7.419681,26.486189
47,-7.570109,26.485676
48,-7.7205367,26.484264
49,-7.8709645,26.482676
50,-8.021393,26.481085
51,-8.17182,26.479494
52,-8.322248,26.477905
53,-8.472675,26.476315
54,-8.623104,26.474724
55,-8.773532,26.473135
56,-8.92396,26.471544
57,-9.074388,26.469954
58,-9.224815,26.468365
59,-9.375243,26.466774
60,-9.525671,26.465183
61,-9.676099,26.463676
62,-9.826527,26.462862
63,-9.976954,26.462046
64,-10.127382,26.46123
65,-10.27781,26.460415
66,-10.428238,26.459599
67,-10.578666,26.458782
68,-10.729094,26.457968
69,-10.879521,26.457151
70,-11.029949,26.456335
71,-11.180377,26.45552
72,-11.330805,26.454704
73,-11.481233,26.453888
74,-11.63166,26.453074
75,-11.782088,26.452257
76,-11.932516,26.45144
77,-12.082944,26.450056
78,-12.233372,26.448067
79,-12.3838,26.446075
