timestep,depth,Theta
0,-0.5,26.47888
1,-0.61346734,26.479599
2,-0.7269346,26.480318
3,-0.8404019,26.481035
4,-0.9538692,26.481754
5,-1.0673366,26.482473
6,-1.1808038,26.483192
7,-1.2942711,26.48391
8,-1.4077384,26.484629
9,-1.5212058,26.485348
10,-1.6346731,26.485847
11,-1.7481403,26.486183
12,-1.8616077,26.486517
13,-1.975075,26.486853
14,-2.0885422,26.487186
15,-2.2020097,26.487522
16,-2.315477,26.487856
17,-2.428944,26.488192
18,-2.5424116,26.488525
19,-2.6558788,26.488861
20,-2.7693462,26.489195
21,-2.8828135,26.489403
22,-2.9962807,26.48958
23,-3.1097481,26.48976
24,-3.2232153,26.489939
25,-3.3366826,26.490118
26,-3.45015,26.490297
27,-3.5636172,26.490475
28,-3.6770844,26.490654
29,-3.790552,26.490833
30,-3.904019,26.491013
31,-4.0174866,26.491192
32,-4.130954,26.49137
33,-4.244421,26.491467
34,-4.357888,26.49149
35,-4.4713554,26.491512
36,-4.584823,26.491533
37,-4.6982903,26.491556
38,-4.8117576,26.49158
39,-4.925225,26.491602
40,-5.0386925,26.491623
41,-5.1521597,26.491646
42,-5.265627,26.491669
43,-5.379094,26.491692
44,-5.4925613,26.491713
45,-5.6060286,26.491735
46,-5.7194963,26.491758
47,-5.8329635,26.491589
48,-5.9464307,26.491203
49,-6.059898,26.490818
50,-6.173365,26.49043
51,-6.286833,26.490046
52,-6.4003,26.489658
53,-6.5137672,26.489273
54,-6.6272345,26.488886
55,-6.7407017,26.4885
56,-6.854169,26.488113
57,-6.9676366,26.487728
58,-7.081104,26.48734
59,-7.194571,26.486956
60,-7.308038,26.486568
61,-7.4215055,26.486183
62,-7.534973,26.485796
63,-7.6484404,26.485027
64,-7.7619076,26.483828
65,-7.875375,26.482628
66,-7.988842,26.481428
67,-8.10231,26.48023
68,-8.215776,26.47903
69,-8.329245,26.47783
70,-8.442711,26.476631
71,-8.556179,26.475431
72,-8.669646,26.474232
73,-8.7831135,26.473034
74,-8.896581,26.471834
75,-9.010048,26.470634
76,-9.123515,26.469435
77,-9.236982,26.468235
78,-9.35045,26.467035
79,-9.463917,26.465837
80,-9.577385,26.464638
81,-9.690852,26.463596
82,-9.804319,26.462982
83,-9.917787,26.462366
84,-10.031254,26.461752
85,-10.144721,26.461136
86,-10.258188,26.46052
87,-10.371655,26.459906
88,-10.485123,26.45929
89,-10.59859,26.458675
90,-10.712057,26.45806
91,-10.825525,26.457443
92,-10.9389925,26.45683
93,-11.05246,26.456213
94,-11.165927,26.455599
95,-11.279394,26.454983
96,-11.392861,26.454369
97,-11.506329,26.453753
98,-11.619796,26.453136
99,-11.733263,26.452522
100,-11.84673,26.451906
101,-11.960197,26.451292
102,-12.073666,26.450178
103,-12.187133,26.448677
104,-12.3006,26.447176
105,-12.414067,26.445675
106,-12.5275345,26.444174
107,-12.641002,26.442673
108,-12.754469,26.441172
109,-12.867936,26.43967
110,-12.981403,26.43817
111,-13.094871,26.436668
112,-13.208338,26.435167
113,-13.321806,26.433666
114,-13.435273,26.432165
115,-13.54874,26.430664
116,-13.662208,26.429163
117,-13.775675,26.427662
118,-13.889142,26.42616
119,-14.002609,26.42466
120,-14.116076,26.423159
121,-14.229544,26.421658
122,-14.343011,26.420156
123,-14.456479,26.418655
124,-14.569946,26.417154
125,-14.6834135,26.415638
126,-14.796881,26.413576
127,-14.910348,26.411516
128,-15.023815,26.409456
129,-15.137282,26.407396
130,-15.25075,26.405336
131,-15.364217,26.403275
132,-15.477684,26.401215
133,-15.591151,26.399155
134,-15.704619,26.397095
135,-15.818087,26.395035
136,-15.931554,26.392975
137,-16.045021,26.390913
138,-16.15849,26.388853
139,-16.271955,26.386793
140,-16.385422,26.384733
141,-16.49889,26.382673
142,-16.612358,26.380613
