timestep,depth,U
0,0,0.053823147
1,1,0.054393686
2,2,0.054964226
3,3,0.055534765
4,4,0.056105305
5,5,0.056675844
6,6,0.057246383
7,7,0.057816923
8,8,0.058129795
9,9,0.058409832
10,10,0.058689866
11,11,0.0589699
12,12,0.059249934
13,13,0.059529968
14,14,0.05981
15,15,0.060090035
16,16,0.060316533
17,17,0.060527645
18,18,0.060738757
19,19,0.060949866
20,20,0.061160978
21,21,0.06137209
22,22,0.061583202
23,23,0.06179431
24,24,0.062005423
25,25,0.06220463
26,26,0.062392086
27,27,0.06257954
28,28,0.062767
29,29,0.062954456
30,30,0.06314191
31,31,0.06332937
32,32,0.063516825
33,33,0.06370428
34,34,0.06389174
35,35,0.064079195
36,36,0.064262174
37,37,0.06444465
38,38,0.06462714
39,39,0.06480962
40,40,0.0649921
41,41,0.06517459
42,42,0.06535707
43,43,0.065539554
44,44,0.06572203
45,45,0.06590452
46,46,0.066087
47,47,0.06626948
48,48,0.06645632
49,49,0.06664403
50,50,0.06683173
51,51,0.06701943
52,52,0.067207135
53,53,0.06739484
54,54,0.06758254
55,55,0.06777024
56,56,0.06795795
57,57,0.068145655
58,58,0.06833336
59,59,0.06852106
60,60,0.06870876
61,61,0.06889728
62,62,0.06909253
63,63,0.069287784
64,64,0.06948304
65,65,0.06967829
66,66,0.06987355
67,67,0.0700688
68,68,0.07026406
69,69,0.07045931
70,70,0.07065456
71,71,0.07084982
72,72,0.07104508
73,73,0.07124033
74,74,0.071435586
75,75,0.07163084
76,76,0.07182609
77,77,0.072026305
78,78,0.072231784
79,79,0.07243726
80,80,0.072642736
81,81,0.072848216
82,82,0.07305369
83,83,0.07325917
84,84,0.07346464
85,85,0.07367012
86,86,0.0738756
87,87,0.07408107
88,88,0.07428655
89,89,0.07449202
90,90,0.0746975
91,91,0.07490298
92,92,0.07510845
93,93,0.07531393
94,94,0.075519405
95,95,0.07570721
96,96,0.07588866
97,97,0.076070115
98,98,0.07625157
99,99,0.07643302
100,100,0.07661446
101,101,0.07679591
102,102,0.076977365
103,103,0.077158816
104,104,0.07734027
105,105,0.07752172
106,106,0.07770316
107,107,0.077884614
108,108,0.078066066
109,109,0.07824752
110,110,0.07842897
111,111,0.07861042
112,112,0.07879187
113,113,0.078973316
114,114,0.07915477
