timestep,depth,V
0,-0.5,0.53549105
1,-0.6504278,0.5351724
2,-0.8008557,0.53485376
3,-0.9512836,0.53453517
4,-1.1017114,0.5342165
5,-1.2521392,0.5338979
6,-1.4025671,0.53357923
7,-1.552995,0.5332606
8,-1.7034228,0.53302014
9,-1.8538506,0.5327896
10,-2.0042784,0.5325591
11,-2.1547065,0.5323286
12,-2.3051343,0.53209805
13,-2.455562,0.53186756
14,-2.60599,0.5316371
15,-2.7564178,0.5314065
16,-2.9068456,0.53117156
17,-3.0572734,0.5309352
18,-3.2077012,0.53069896
19,-3.358129,0.5304626
20,-3.5085568,0.53022635
21,-3.658985,0.5299901
22,-3.8094127,0.52975374
23,-3.9598405,0.5295175
24,-4.1102686,0.52928114
25,-4.2606964,0.52901703
26,-4.411124,0.52872545
27,-4.561552,0.5284338
28,-4.71198,0.52814215
29,-4.8624077,0.52785057
30,-5.0128355,0.5275589
31,-5.1632633,0.52726734
32,-5.313691,0.5269757
33,-5.464119,0.5266841
34,-5.614547,0.52639246
35,-5.7649746,0.5261009
36,-5.9154024,0.5256967
37,-6.06583,0.52528006
38,-6.216258,0.5248634
39,-6.366686,0.5244468
40,-6.5171137,0.52403015
41,-6.667542,0.5236135
42,-6.81797,0.5231969
43,-6.9683976,0.52278024
44,-7.1188254,0.52236366
45,-7.2692533,0.521947
46,-7.419681,0.5215304
47,-7.570109,0.52111375
48,-7.7205367,0.52057946
49,-7.8709645,0.52002186
50,-8.021393,0.5194642
51,-8.17182,0.5189066
52,-8.322248,0.518349
53,-8.472675,0.5177914
54,-8.623104,0.5172338
55,-8.773532,0.5166762
56,-8.92396,0.5161186
57,-9.074388,0.5155609
58,-9.224815,0.5150033
59,-9.375243,0.5144457
60,-9.525671,0.5138881
61,-9.676099,0.513384
62,-9.826527,0.5133261
63,-9.976954,0.51326823
64,-10.127382,0.5132104
65,-10.27781,0.51315254
66,-10.428238,0.51309466
67,-10.578666,0.5130368
68,-10.729094,0.5129789
69,-10.879521,0.5129211
70,-11.029949,0.5128632
71,-11.180377,0.51280534
72,-11.330805,0.51274747
73,-11.481233,0.5126896
74,-11.63166,0.5126318
75,-11.782088,0.5125739
76,-11.932516,0.512516
77,-12.082944,0.5126479
78,-12.233372,0.51298136
79,-12.3838,0.5133148
80,-12.534227,0.5136482
81,-12.684656,0.51398164
82,-12.835084,0.51431507
83,-12.985512,0.5146485
84,-13.13594,0.5149819
85,-13.286367,0.51531535
86,-13.436795,0.5156488
87,-13.587223,0.5159822
88,-13.737651,0.51631564
89,-13.888079,0.51664907
90,-14.0385065,0.5169825
91,-14.188934,0.5173159
92,-14.339362,0.51764935
93,-14.48979,0.51798284
94,-14.640218,0.51831627
95,-14.790646,0.5187962
96,-14.941073,0.5193289
97,-15.091501,0.5198615
98,-15.241929,0.52039415
99,-15.392357,0.52092683
100,-15.542785,0.52145946
101,-15.6932125,0.52199215
102,-15.84364,0.5225248
103,-15.994068,0.52305746
104,-16.144497,0.5235901
105,-16.294924,0.5241228
106,-16.44535,0.5246554
107,-16.59578,0.5251881
108,-16.746208,0.5257207
109,-16.896635,0.5262534
110,-17.047064,0.526786
111,-17.19749,0.52731866
112,-17.34792,0.52785134
113,-17.498346,0.528384
114,-17.648775,0.52891666
115,-17.799202,0.52956104
116,-17.94963,0.5302721
117,-18.100058,0.5309832
118,-18.250486,0.53169423
119,-18.400913,0.5324053
120,-18.551342,0.5331164
121,-18.701769,0.5338275
122,-18.852198,0.53453857
123,-19.002625,0.53524965
124,-19.153053,0.53596073
125,-19.30348,0.53667176
126,-19.453909,0.53738284
127,-19.604336,0.5380939
128,-19.754765,0.538805
129,-19.905193,0.5395161
130,-20.05562,0.5402272
131,-20.206049,0.54093826
132,-20.356476,0.5416493
133,-20.506905,0.54236037
134,-20.657331,0.54307145
135,-20.80776,0.54378253
136,-20.958187,0.5444936
137,-21.108616,0.5452047
138,-21.259043,0.54611725
139,-21.409472,0.54705447
140,-21.559898,0.5479917
141,-21.710327,0.5489289
142,-21.860754,0.54986614
143,-22.011183,0.55080336
144,-22.16161,0.5517405
145,-22.312038,0.55267775
146,-22.462465,0.553615
147,-22.612894,0.5545522
148,-22.76332,0.5554894
149,-22.91375,0.55642664
150,-23.064177,0.5573638
151,-23.214605,0.55830103
152,-23.365032,0.55923826
153,-23.515461,0.5601755
154,-23.665888,0.5611127
155,-23.816317,0.5620499
156,-23.966743,0.56298715
157,-24.117172,0.5639243
158,-24.2676,0.56486154
159,-24.418028,0.56579876
160,-24.568455,0.566736
161,-24.718884,0.5676732
162,-24.869312,0.5686104
163,-25.01974,0.56958514
164,-25.170168,0.570712
165,-25.320595,0.57183886
166,-25.471024,0.5729657
167,-25.62145,0.5740925
168,-25.77188,0.5752194
169,-25.922306,0.5763462
170,-26.072735,0.5774731
171,-26.223162,0.57859993
172,-26.37359,0.5797268
173,-26.524017,0.58085364
174,-26.674446,0.5819805
175,-26.824873,0.58310735
176,-26.975302,0.58423424
177,-27.125729,0.58536106
178,-27.276157,0.5864879
179,-27.426584,0.5876148
180,-27.577013,0.5887416
181,-27.72744,0.5898685
182,-27.877869,0.5909953
183,-28.028296,0.5921222
184,-28.178724,0.593249
185,-28.329151,0.59437585
186,-28.47958,0.59550273
187,-28.630007,0.59662956
188,-28.780436,0.59775645
189,-28.930862,0.5988833
190,-29.081291,0.60001016
191,-29.231718,0.601137
192,-29.382147,0.6023164
193,-29.532576,0.6036559
194,-29.683002,0.60499537
195,-29.833431,0.60633487
196,-29.983858,0.60767436
197,-30.134287,0.60901386
198,-30.284714,0.61035335
199,-30.435143,0.61169285
200,-30.58557,0.61303234
201,-30.735998,0.61437184
202,-30.886425,0.61571133
203,-31.036854,0.6170508
204,-31.18728,0.6183903
205,-31.33771,0.6197298
206,-31.488136,0.6210693
207,-31.638565,0.6224088
208,-31.788992,0.6237483
209,-31.93942,0.6250878
210,-32.089848,0.6264273
211,-32.240276,0.6277668
212,-32.3907,0.6291063
213,-32.54113,0.6304458
214,-32.69156,0.6317853
215,-32.841988,0.63312477
216,-32.992416,0.63446426
217,-33.14284,0.63580376
218,-33.29327,0.63714325
219,-33.4437,0.63848275
220,-33.594128,0.63982224
221,-33.744553,0.64116174
222,-33.89498,0.64250124
223,-34.04541,0.64384073
224,-34.19584,0.6451802
225,-34.346268,0.64667517
226,-34.496693,0.64823467
227,-34.64712,0.64979416
228,-34.79755,0.65135366
229,-34.94798,0.6529132
230,-35.098404,0.65447265
231,-35.248833,0.6560322
232,-35.39926,0.6575917
233,-35.54969,0.6591512
234,-35.700115,0.6607107
235,-35.850544,0.6622702
236,-36.000973,0.66382974
237,-36.1514,0.66538924
238,-36.301826,0.66694874
239,-36.452255,0.66850823
240,-36.602684,0.6700677
241,-36.753113,0.6716273
242,-36.903538,0.6731867
243,-37.053967,0.6747463
244,-37.204395,0.6763058
245,-37.354824,0.67786527
246,-37.50525,0.67942476
247,-37.655678,0.68098426
248,-37.806107,0.6825438
249,-37.956535,0.6841033
250,-38.10696,0.6856628
251,-38.25739,0.6872223
252,-38.407818,0.6887818
253,-38.558247,0.69034135
254,-38.70867,0.69190085
255,-38.8591,0.69346035
256,-39.00953,0.69501984
257,-39.159958,0.6965794
258,-39.310387,0.6981389
259,-39.46081,0.6996984
260,-39.61124,0.7012579
261,-39.76167,0.7028339
262,-39.912098,0.7044609
263,-40.062523,0.70608795
264,-40.21295,0.70771503
265,-40.36338,0.70934206
266,-40.51381,0.71096915
267,-40.664234,0.7125962
268,-40.814663,0.71422327
269,-40.96509,0.7158503
270,-41.11552,0.7174774
271,-41.265945,0.7191044
272,-41.416374,0.72073144
273,-41.566803,0.7223585
274,-41.71723,0.7239856
275,-41.867657,0.72561264
276,-42.018085,0.72723967
277,-42.168514,0.72886676
278,-42.318943,0.73049384
279,-42.469368,0.7321209
280,-42.619797,0.7337479
281,-42.770226,0.735375
282,-42.920654,0.737002
283,-43.07108,0.73862904
284,-43.221508,0.74025613
285,-43.371937,0.7418832
286,-43.522366,0.74351025
287,-43.67279,0.7451373
288,-43.82322,0.74676436
289,-43.973648,0.74839145
290,-44.124077,0.7500185
291,-44.274506,0.75164557
292,-44.42493,0.7532726
293,-44.57536,0.7548996
294,-44.72579,0.7565267
295,-44.876217,0.7581538
296,-45.02664,0.7597808
297,-45.17707,0.76140785
298,-45.3275,0.76303494
299,-45.47793,0.764662
300,-45.628353,0.766289
301,-45.77878,0.7679161
302,-45.92921,0.76941437
303,-46.07964,0.7707803
304,-46.230064,0.7721463
305,-46.380493,0.7735123
306,-46.530922,0.77487826
307,-46.68135,0.7762443
308,-46.831776,0.77761024
309,-46.982204,0.7789762
310,-47.132633,0.7803422
311,-47.283062,0.7817082
312,-47.433487,0.78307414
313,-47.583916,0.78444016
314,-47.734344,0.7858061
315,-47.884773,0.78717214
316,-48.0352,0.7885381
317,-48.185627,0.78990406
318,-48.336056,0.7912701
319,-48.486485,0.79263604
320,-48.63691,0.794002
321,-48.78734,0.795368
322,-48.937767,0.796734
323,-49.088196,0.7981
324,-49.238625,0.79946595
325,-49.38905,0.8008319
326,-49.53948,0.80219793
327,-49.689907,0.8035639
328,-49.840336,0.8049299
329,-49.99076,0.8062959
330,-50.14119,0.80766183
331,-50.29162,0.80902785
332,-50.442047,0.8103938
333,-50.592472,0.81175977
334,-50.7429,0.8131258
335,-50.89333,0.81449175
336,-51.04376,0.81585777
337,-51.194183,0.8172237
338,-51.344612,0.8185897
339,-51.49504,0.8199557
340,-51.64547,0.82132167
341,-51.795895,0.8226876
342,-51.946323,0.82405365
343,-52.096752,0.8254196
344,-52.24718,0.8267856
345,-52.397606,0.8281516
346,-52.548035,0.82951754
347,-52.698463,0.8308581
348,-52.848892,0.83177274
349,-52.999317,0.8326873
350,-53.149746,0.8336019
351,-53.300175,0.8345165
352,-53.450603,0.8354311
353,-53.601032,0.83634573
354,-53.751457,0.8372603
355,-53.901886,0.8381749
356,-54.052315,0.8390895
357,-54.202744,0.8400041
358,-54.35317,0.84091866
359,-54.503597,0.84183323
360,-54.654026,0.84274787
361,-54.804455,0.84366244
362,-54.95488,0.844577
363,-55.10531,0.84549165
364,-55.255737,0.8464062
365,-55.406166,0.84732085
366,-55.55659,0.8482354
367,-55.70702,0.84915
368,-55.85745,0.85006464
369,-56.007877,0.8509792
370,-56.158302,0.8518938
371,-56.30873,0.85280836
372,-56.45916,0.853723
373,-56.60959,0.85463756
374,-56.760014,0.85555214
375,-56.910442,0.85646677
376,-57.06087,0.85738134
377,-57.2113,0.858296
378,-57.361725,0.85921055
379,-57.512154,0.8601251
380,-57.662582,0.8610397
381,-57.81301,0.86195433
382,-57.963436,0.8628689
383,-58.113865,0.8637835
384,-58.264294,0.8646981
385,-58.414722,0.8656127
386,-58.56515,0.8665273
387,-58.715576,0.8674419
388,-58.866005,0.86835647
389,-59.016434,0.8692711
390,-59.166862,0.8701857
391,-59.317287,0.87110025
392,-59.467716,0.8720148
393,-59.618145,0.87292945
394,-59.768574,0.873844
395,-59.919,0.8747586
396,-60.069427,0.87567323
397,-60.219856,0.8765878
398,-60.370285,0.8772838
399,-60.52071,0.8778342
400,-60.67114,0.8783846
401,-60.821568,0.8789349
402,-60.971996,0.8794853
403,-61.12242,0.8800357
404,-61.27285,0.8805861
405,-61.42328,0.8811365
406,-61.573708,0.8816868
407,-61.724133,0.8822372
408,-61.87456,0.8827876
409,-62.02499,0.883338
410,-62.17542,0.88388836
411,-62.325844,0.8844387
412,-62.476273,0.8849891
413,-62.6267,0.8855395
414,-62.77713,0.88608986
415,-62.927555,0.8866402
416,-63.077984,0.8871906
417,-63.228413,0.88774097
418,-63.37884,0.88829136
419,-63.52927,0.88884175
420,-63.679695,0.88939214
421,-63.830124,0.88994247
422,-63.980553,0.89049286
423,-64.13098,0.89104325
424,-64.2814,0.89159364
425,-64.43184,0.892144
426,-64.58226,0.89269435
427,-64.73269,0.89324474
428,-64.88312,0.89379513
429,-65.03355,0.8943455
430,-65.183975,0.8948959
431,-65.334404,0.8954463
432,-65.48483,0.89599663
433,-65.63526,0.896547
434,-65.78568,0.8970974
435,-65.93611,0.89764774
436,-66.08654,0.8981981
437,-66.23697,0.8987485
438,-66.3874,0.8992989
439,-66.53783,0.8998493
440,-66.688255,0.9003997
441,-66.838684,0.9009501
442,-66.989105,0.9015004
443,-67.139534,0.9020508
444,-67.28996,0.9026012
445,-67.44039,0.9031516
446,-67.59082,0.9037019
447,-67.74125,0.9042523
448,-67.89168,0.9048027
449,-68.04211,0.90535307
450,-68.192535,0.90590346
451,-68.34296,0.9064538
452,-68.493385,0.9070042
453,-68.643814,0.90755457
454,-68.79424,0.90795976
455,-68.94467,0.90831023
456,-69.0951,0.9086607
457,-69.24553,0.90901124
458,-69.39596,0.9093617
459,-69.54638,0.90971214
