CHANNEL,EVENT,CLIP NAME,START TIME,END TIME,DURATION,STATE,Frames,Runtime,Beats
1,1,Modular Creature 4-12.L       ,00:04:19:03,00:04:20:08,00:00:01:05,Unmuted,7773,35,1
1,2,Modular Creature 4-13.L       ,00:04:30:21,00:04:31:28,00:00:01:07,Unmuted,8121,37,0
1,3,Modular Creature 4-15.L       ,00:04:39:12,00:04:40:18,00:00:01:06,Unmuted,8382,36,1
1,4,Modular Creature 4-14.L       ,00:04:41:18,00:04:42:26,00:00:01:08,Unmuted,8448,38,0
1,5,Modular Creature 4-11.L       ,00:04:53:08,00:04:54:00,00:00:00:21,Unmuted,8798,21,1
1,6,Modular Creature 4-10.L       ,00:05:02:17,00:05:03:25,00:00:01:08,Unmuted,9077,38,0
1,7,Modular Creature 4-PnTPro_01-01.L,00:05:25:05,00:05:26:13,00:00:01:08,Unmuted,9755,38,1
1,8,Modular Creature 4-PnTPro_02-01.L,00:05:30:20,00:05:32:04,00:00:01:13,Unmuted,9920,43,0
1,9,Modular Creature 4-PnTPro_03-01.L,00:05:34:03,00:05:35:16,00:00:01:13,Unmuted,10023,43,1
1,10,Modular Creature 4-PnTPro_04-01.L,00:05:51:01,00:05:52:16,00:00:01:15,Unmuted,10531,45,0
1,11,Modular Creature 4-PnTPro_05-01.L,00:05:58:01,00:05:59:22,00:00:01:20,Unmuted,10741,50,1
1,12,Modular Creature 4-PnTPro_06-02.L,00:06:09:15,00:06:13:14,00:00:03:28,Unmuted,11085,118,0
