timestep,depth,Salinity,lat,lon
0,-0.5,35.867897,25.601171,-79.479164
1,-0.6504278,35.867958,25.601171,-79.479164
2,-0.8008557,35.868015,25.601171,-79.479164
3,-0.9512836,35.868076,25.601171,-79.479164
4,-1.1017114,35.868137,25.601171,-79.479164
5,-1.2521392,35.8682,25.601171,-79.479164
6,-1.4025671,35.868256,25.601171,-79.479164
7,-1.552995,35.868317,25.601171,-79.479164
8,-1.7034228,35.868366,25.601171,-79.479164
9,-1.8538506,35.868412,25.601171,-79.479164
10,-2.0042784,35.86846,25.601171,-79.479164
11,-2.1547065,35.868507,25.601171,-79.479164
12,-2.3051343,35.868553,25.601171,-79.479164
13,-2.455562,35.868603,25.601171,-79.479164
14,-2.60599,35.86865,25.601171,-79.479164
15,-2.7564178,35.868694,25.601171,-79.479164
16,-2.9068456,35.868748,25.601171,-79.479164
17,-3.0572734,35.8688,25.601171,-79.479164
18,-3.2077012,35.86886,25.601171,-79.479164
19,-3.358129,35.86891,25.601171,-79.479164
20,-3.5085568,35.86897,25.601171,-79.479164
21,-3.658985,35.869022,25.601171,-79.479164
22,-3.8094127,35.869076,25.601171,-79.479164
23,-3.9598405,35.869133,25.601171,-79.479164
24,-4.1102686,35.869186,25.601171,-79.479164
25,-4.2606964,35.869255,25.601171,-79.479164
26,-4.411124,35.86934,25.601171,-79.479164
27,-4.561552,35.869423,25.601171,-79.479164
28,-4.71198,35.869507,25.601171,-79.479164
29,-4.8624077,35.86959,25.601171,-79.479164
30,-5.0128355,35.869675,25.601171,-79.479164
31,-5.1632633,35.869762,25.601171,-79.479164
32,-5.313691,35.869846,25.601171,-79.479164
33,-5.464119,35.86993,25.601171,-79.479164
34,-5.614547,35.870014,25.601171,-79.479164
35,-5.7649746,35.8701,25.601171,-79.479164
36,-5.9154024,35.87027,25.601171,-79.479164
37,-6.06583,35.870453,25.601171,-79.479164
38,-6.216258,35.87064,25.601171,-79.479164
39,-6.366686,35.870823,25.601171,-79.479164
40,-6.5171137,35.871006,25.601171,-79.479164
41,-6.667542,35.87119,25.601171,-79.479164
42,-6.81797,35.871372,25.601171,-79.479164
43,-6.9683976,35.871555,25.601171,-79.479164
44,-7.1188254,35.871742,25.601171,-79.479164
45,-7.2692533,35.871925,25.601171,-79.479164
46,-7.419681,35.87211,25.601171,-79.479164
47,-7.570109,35.87229,25.601171,-79.479164
48,-7.7205367,35.87251,25.601171,-79.479164
49,-7.8709645,35.872734,25.601171,-79.479164
50,-8.021393,35.872955,25.601171,-79.479164
51,-8.17182,35.87318,25.601171,-79.479164
52,-8.322248,35.873405,25.601171,-79.479164
53,-8.472675,35.87363,25.601171,-79.479164
54,-8.623104,35.87385,25.601171,-79.479164
55,-8.773532,35.874077,25.601171,-79.479164
56,-8.92396,35.874302,25.601171,-79.479164
57,-9.074388,35.874523,25.601171,-79.479164
58,-9.224815,35.87475,25.601171,-79.479164
59,-9.375243,35.874973,25.601171,-79.479164
