,timestep,depth,Salinity,Theta
0,0,-0.5,35.867897,26.47888
1,1,-0.6504278,35.867958,26.479834
2,2,-0.8008557,35.868015,26.480785
3,3,-0.9512836,35.868076,26.481739
4,4,-1.1017114,35.868137,26.48269
5,5,-1.2521392,35.8682,26.483644
6,6,-1.4025671,35.868256,26.484596
7,7,-1.552995,35.868317,26.48555
8,8,-1.7034228,35.868366,26.48605
9,9,-1.8538506,35.868412,26.486494
10,10,-2.0042784,35.86846,26.486938
11,11,-2.1547065,35.868507,26.487381
12,12,-2.3051343,35.868553,26.487825
13,13,-2.455562,35.868603,26.48827
14,14,-2.60599,35.86865,26.488712
15,15,-2.7564178,35.868694,26.489157
16,16,-2.9068456,35.868748,26.48944
17,17,-3.0572734,35.8688,26.489677
18,18,-3.2077012,35.86886,26.489914
19,19,-3.358129,35.86891,26.490152
20,20,-3.5085568,35.86897,26.490389
21,21,-3.658985,35.869022,26.490625
22,22,-3.8094127,35.869076,26.490864
23,23,-3.9598405,35.869133,26.4911
24,24,-4.1102686,35.869186,26.491337
25,25,-4.2606964,35.869255,26.49147
26,26,-4.411124,35.86934,26.491499
27,27,-4.561552,35.869423,26.49153
28,28,-4.71198,35.869507,26.49156
29,29,-4.8624077,35.86959,26.491589
30,30,-5.0128355,35.869675,26.49162
31,31,-5.1632633,35.869762,26.491648
32,32,-5.313691,35.869846,26.491678
33,33,-5.464119,35.86993,26.491707
34,34,-5.614547,35.870014,26.491737
35,35,-5.7649746,35.8701,26.491766
36,36,-5.9154024,35.87027,26.491308
37,37,-6.06583,35.870453,26.490797
38,38,-6.216258,35.87064,26.490284
39,39,-6.366686,35.870823,26.489773
40,40,-6.5171137,35.871006,26.489262
41,41,-6.667542,35.87119,26.488749
42,42,-6.81797,35.871372,26.488237
43,43,-6.9683976,35.871555,26.487724
44,44,-7.1188254,35.871742,26.487213
45,45,-7.2692533,35.871925,26.4867
46,46,-7.419681,35.87211,26.486189
47,47,-7.570109,35.87229,26.485676
48,48,-7.7205367,35.87251,26.484264
49,49,-7.8709645,35.872734,26.482676
50,50,-8.021393,35.872955,26.481085
51,51,-8.17182,35.87318,26.479494
52,52,-8.322248,35.873405,26.477905
53,53,-8.472675,35.87363,26.476315
54,54,-8.623104,35.87385,26.474724
55,55,-8.773532,35.874077,26.473135
56,56,-8.92396,35.874302,26.471544
57,57,-9.074388,35.874523,26.469954
58,58,-9.224815,35.87475,26.468365
59,59,-9.375243,35.874973,26.466774
60,60,-9.525671,35.8752,26.465183
61,61,-9.676099,35.87542,26.463676
62,62,-9.826527,35.87565,26.462862
63,63,-9.976954,35.875877,26.462046
64,64,-10.127382,35.876106,26.46123
65,65,-10.27781,35.876335,26.460415
66,66,-10.428238,35.876564,26.459599
67,67,-10.578666,35.876793,26.458782
68,68,-10.729094,35.877018,26.457968
69,69,-10.879521,35.877247,26.457151
70,70,-11.029949,35.877476,26.456335
71,71,-11.180377,35.877705,26.45552
72,72,-11.330805,35.877934,26.454704
73,73,-11.481233,35.878162,26.453888
74,74,-11.63166,35.878387,26.453074
75,75,-11.782088,35.878616,26.452257
76,76,-11.932516,35.878845,26.45144
77,77,-12.082944,35.879158,26.450056
78,78,-12.233372,35.879555,26.448067
79,79,-12.3838,35.87995,26.446075
80,80,-12.534227,35.880352,26.444086
81,81,-12.684656,35.88075,26.442097
82,82,-12.835084,35.881145,26.440105
83,83,-12.985512,35.881546,26.438116
84,84,-13.13594,35.881943,26.436127
85,85,-13.286367,35.88234,26.434135
86,86,-13.436795,35.88274,26.432146
87,87,-13.587223,35.883137,26.430155
88,88,-13.737651,35.883533,26.428165
89,89,-13.888079,35.883934,26.426176
90,90,-14.0385065,35.88433,26.424185
91,91,-14.188934,35.884727,26.422195
92,92,-14.339362,35.885128,26.420206
93,93,-14.48979,35.885525,26.418215
94,94,-14.640218,35.88592,26.416225
95,95,-14.790646,35.88633,26.41369
96,96,-14.941073,35.886738,26.41096
97,97,-15.091501,35.887146,26.408228
98,98,-15.241929,35.887554,26.405497
99,99,-15.392357,35.887962,26.402765
100,100,-15.542785,35.88837,26.400034
101,101,-15.6932125,35.88878,26.397303
102,102,-15.84364,35.889187,26.394571
103,103,-15.994068,35.889595,26.39184
104,104,-16.144497,35.890003,26.389107
105,105,-16.294924,35.89041,26.386375
106,106,-16.44535,35.89082,26.383644
107,107,-16.59578,35.891228,26.380913
108,108,-16.746208,35.891636,26.378181
109,109,-16.896635,35.892044,26.37545
110,110,-17.047064,35.892452,26.372719
111,111,-17.19749,35.89286,26.369987
112,112,-17.34792,35.89327,26.367256
113,113,-17.498346,35.893677,26.364525
114,114,-17.648775,35.894085,26.361794
115,115,-17.799202,35.894524,26.358723
116,116,-17.94963,35.89498,26.355446
117,117,-18.100058,35.89544,26.35217
118,118,-18.250486,35.895897,26.348896
119,119,-18.400913,35.896355,26.34562
120,120,-18.551342,35.896812,26.342344
121,121,-18.701769,35.89727,26.33907
122,122,-18.852198,35.897728,26.335793
123,123,-19.002625,35.898186,26.332518
124,124,-19.153053,35.898643,26.32924
125,125,-19.30348,35.8991,26.325966
126,126,-19.453909,35.89956,26.322691
127,127,-19.604336,35.900013,26.319414
128,128,-19.754765,35.90047,26.31614
129,129,-19.905193,35.90093,26.312864
130,130,-20.05562,35.901386,26.309587
131,131,-20.206049,35.901844,26.306313
132,132,-20.356476,35.9023,26.303038
133,133,-20.506905,35.90276,26.29976
134,134,-20.657331,35.903217,26.296486
135,135,-20.80776,35.903675,26.293211
136,136,-20.958187,35.904133,26.289934
137,137,-21.108616,35.90459,26.28666
138,138,-21.259043,35.905178,26.28344
139,139,-21.409472,35.90578,26.280226
140,140,-21.559898,35.906384,26.277012
141,141,-21.710327,35.90699,26.273798
142,142,-21.860754,35.907593,26.270584
143,143,-22.011183,35.908195,26.26737
144,144,-22.16161,35.9088,26.264156
145,145,-22.312038,35.9094,26.260942
146,146,-22.462465,35.910007,26.257729
147,147,-22.612894,35.91061,26.254515
148,148,-22.76332,35.911213,26.2513
149,149,-22.91375,35.911816,26.248087
150,150,-23.064177,35.912422,26.244873
151,151,-23.214605,35.913025,26.24166
152,152,-23.365032,35.913628,26.238445
153,153,-23.515461,35.91423,26.235231
154,154,-23.665888,35.914833,26.232018
155,155,-23.816317,35.91544,26.228804
156,156,-23.966743,35.916042,26.225592
157,157,-24.117172,35.916645,26.222378
158,158,-24.2676,35.917248,26.219164
159,159,-24.418028,35.91785,26.21595
160,160,-24.568455,35.918457,26.212736
161,161,-24.718884,35.91906,26.209522
162,162,-24.869312,35.919662,26.206308
163,163,-25.01974,35.920303,26.203123
164,164,-25.170168,35.92109,26.200058
165,165,-25.320595,35.921875,26.196995
166,166,-25.471024,35.922665,26.19393
167,167,-25.62145,35.92345,26.190865
168,168,-25.77188,35.924236,26.1878
169,169,-25.922306,35.925026,26.184734
170,170,-26.072735,35.92581,26.18167
171,171,-26.223162,35.926598,26.178604
172,172,-26.37359,35.927387,26.17554
173,173,-26.524017,35.928173,26.172476
174,174,-26.674446,35.92896,26.16941
175,175,-26.824873,35.92975,26.166346
176,176,-26.975302,35.930534,26.16328
177,177,-27.125729,35.93132,26.160215
178,178,-27.276157,35.93211,26.15715
179,179,-27.426584,35.932896,26.154085
180,180,-27.577013,35.93368,26.151022
181,181,-27.72744,35.934467,26.147957
182,182,-27.877869,35.935257,26.144892
183,183,-28.028296,35.936043,26.141827
184,184,-28.178724,35.93683,26.138762
185,185,-28.329151,35.93762,26.135696
186,186,-28.47958,35.938404,26.132631
187,187,-28.630007,35.93919,26.129568
188,188,-28.780436,35.93998,26.126503
189,189,-28.930862,35.940765,26.123438
190,190,-29.081291,35.94155,26.120373
191,191,-29.231718,35.94234,26.117308
192,192,-29.382147,35.943226,26.11391
193,193,-29.532576,35.944424,26.109503
194,194,-29.683002,35.945618,26.105095
195,195,-29.833431,35.946815,26.100687
196,196,-29.983858,35.94801,26.09628
197,197,-30.134287,35.949203,26.091871
198,198,-30.284714,35.9504,26.087463
199,199,-30.435143,35.951595,26.083055
200,200,-30.58557,35.952793,26.078648
201,201,-30.735998,35.953987,26.07424
202,202,-30.886425,35.95518,26.069832
203,203,-31.036854,35.95638,26.065424
204,204,-31.18728,35.957573,26.061016
205,205,-31.33771,35.95877,26.056608
206,206,-31.488136,35.959965,26.0522
207,207,-31.638565,35.96116,26.047792
208,208,-31.788992,35.962357,26.043385
209,209,-31.93942,35.96355,26.038977
210,210,-32.089848,35.964745,26.034569
211,211,-32.240276,35.965942,26.03016
212,212,-32.3907,35.967136,26.025753
213,213,-32.54113,35.968334,26.021345
214,214,-32.69156,35.96953,26.016937
215,215,-32.841988,35.970722,26.01253
216,216,-32.992416,35.97192,26.008121
217,217,-33.14284,35.973114,26.003714
218,218,-33.29327,35.97431,25.999306
