group,Sample
0,4252
1,4022
2,4782
3,4949
4,4457
5,4561
6,5410
7,4365
8,5011
9,5769
10,4272
11,5161
12,5454
13,5231
14,5566
15,5528
16,5574
17,5689
18,6885
19,5844
20,5204
21,6666
22,6107
23,6091
24,6573
26,7346
27,7317
28,5295
29,7076
30,7602
31,6196
32,8233
33,6838
34,6029
35,7691
36,6815
37,7132
38,6583
39,6294
40,7739
41,5879
42,6092
43,7747
44,5391
45,6506
46,8003
47,5475
48,5966
49,7230
51,6458
52,6186
53,6436
54,6733
55,6190
56,6267
57,6498
58,5473
59,6132
60,6240
61,5421
62,5759
63,5372
64,5416
65,5216
66,4854
67,4707
68,4170
69,4457
70,4073
71,3501
72,3305
73,3343
74,3180
75,2555
77,2277
78,1837
79,2068
80,1704
81,595
82,884
83,913
84,116
85,298
86,-34
87,-157
88,110
89,-600
90,246
91,138
92,-617
93,595
94,726
95,321
96,450
97,673
98,1529
99,1555
100,1233
102,2138
103,2343
104,2396
105,2397
106,2850
107,4310
108,3243
109,3362
110,4302
111,4184
112,5307
113,3996
114,5156
115,6370
116,3971
117,5872
118,6570
119,6214
120,6624
121,5941
122,7909
123,6897
124,6929
125,8312
127,6494
128,8734
129,9076
130,5842
131,8822
132,10469
133,4904
134,8919
135,10437
136,5795
137,8864
138,7102
139,9530
140,7206
141,6274
142,10710
143,4758
144,8421
145,9023
146,5243
147,6591
148,8731
149,6169
150,4345
151,10291
153,3925
154,5335
155,9079
156,3546
157,6595
158,6121
159,5935
160,5221
161,5252
162,7365
163,3887
164,5998
165,7320
166,3848
167,4912
168,6017
169,5314
170,4447
171,4901
172,4799
173,3755
174,3936
175,4210
176,3443
178,1926
179,3026
180,3088
181,1574
182,1963
183,2170
184,1079
185,976
186,1155
187,1466
188,1565
189,294
190,1006
191,1216
192,1107
193,1476
194,980
195,1395
196,1388
197,1397
198,1776
199,1541
200,1811
201,2305
203,2100
204,1826
205,1989
206,2690
207,2234
208,1859
209,3137
210,2466
211,2173
212,3329
213,2799
