CHANNEL,EVENT,CLIP NAME,START TIME,END TIME,DURATION,STATE,Frames,Runtime,Beats
1,1,Heartbeat Tempo Mapped-11.L   ,00:00:03:11,00:00:03:29,00:00:00:17,Unmuted,101,17,1
1,2,Heartbeat Tempo Mapped-91.L   ,00:00:03:29,00:00:04:07,00:00:00:08,Unmuted,119,8,0
1,3,Heartbeat Tempo Mapped-92.L   ,00:00:04:07,00:00:04:25,00:00:00:17,Unmuted,127,17,1
1,4,Heartbeat Tempo Mapped-93.L   ,00:00:04:25,00:00:05:03,00:00:00:08,Unmuted,145,8,0
1,5,Heartbeat Tempo Mapped-95.L   ,00:00:05:04,00:00:05:21,00:00:00:17,Unmuted,154,17,1
1,6,Heartbeat Tempo Mapped-96.L   ,00:00:05:21,00:00:05:29,00:00:00:08,Unmuted,171,8,0
1,7,Heartbeat Tempo Mapped-97.L   ,00:00:06:00,00:00:06:17,00:00:00:17,Unmuted,180,17,1
1,8,Heartbeat Tempo Mapped-84.L   ,00:00:06:17,00:00:06:25,00:00:00:07,Unmuted,197,7,0
1,10,Heartbeat Tempo Mapped-98.L   ,00:00:06:26,00:00:07:13,00:00:00:17,Unmuted,206,17,0
1,11,Heartbeat Tempo Mapped-99.L   ,00:00:07:13,00:00:07:20,00:00:00:07,Unmuted,223,7,1
1,12,Heartbeat Tempo Mapped-100.L  ,00:00:07:21,00:00:08:08,00:00:00:17,Unmuted,231,17,0
1,13,Heartbeat Tempo Mapped-101.L  ,00:00:08:09,00:00:08:16,00:00:00:07,Unmuted,249,7,1
1,14,Heartbeat Tempo Mapped-95.L   ,00:00:08:16,00:00:09:04,00:00:00:17,Unmuted,256,17,0
1,15,Heartbeat Tempo Mapped-102.L  ,00:00:09:04,00:00:09:12,00:00:00:08,Unmuted,274,8,1
1,16,Heartbeat Tempo Mapped-97.L   ,00:00:09:13,00:00:10:00,00:00:00:17,Unmuted,283,17,0
1,17,Heartbeat Tempo Mapped-84.L   ,00:00:10:00,00:00:10:08,00:00:00:07,Unmuted,300,7,1
1,19,Heartbeat Tempo Mapped-98.L   ,00:00:10:08,00:00:10:25,00:00:00:17,Unmuted,308,17,1
1,20,Heartbeat Tempo Mapped-103.L  ,00:00:10:26,00:00:11:03,00:00:00:07,Unmuted,326,7,0
1,21,Heartbeat Tempo Mapped-100.L  ,00:00:11:03,00:00:11:21,00:00:00:17,Unmuted,333,17,1
1,22,Heartbeat Tempo Mapped-104.L  ,00:00:11:21,00:00:11:29,00:00:00:07,Unmuted,351,7,0
1,23,Heartbeat Tempo Mapped-105.L  ,00:00:11:29,00:00:12:17,00:00:00:17,Unmuted,359,17,1
1,24,Heartbeat Tempo Mapped-96.L   ,00:00:12:17,00:00:12:25,00:00:00:08,Unmuted,377,8,0
1,25,Heartbeat Tempo Mapped-97.L   ,00:00:12:25,00:00:13:13,00:00:00:17,Unmuted,385,17,1
1,26,Heartbeat Tempo Mapped-84.L   ,00:00:13:13,00:00:13:21,00:00:00:07,Unmuted,403,7,0
1,28,Heartbeat Tempo Mapped-98.L   ,00:00:13:21,00:00:14:08,00:00:00:17,Unmuted,411,17,0
1,29,Heartbeat Tempo Mapped-99.L   ,00:00:14:09,00:00:14:16,00:00:00:07,Unmuted,429,7,1
