CHANNEL 	EVENT   	CLIP NAME                     	START TIME    	END TIME      	DURATION      	STATE
1       	1       	Heartbeat Tempo Mapped-11.L   	   00:00:03:10	   00:00:03:29	   00:00:00:18	Unmuted
1       	2       	Heartbeat Tempo Mapped-91.L   	   00:00:03:29	   00:00:04:07	   00:00:00:08	Unmuted
1       	3       	Heartbeat Tempo Mapped-92.L   	   00:00:04:07	   00:00:04:25	   00:00:00:17	Unmuted
1       	4       	Heartbeat Tempo Mapped-93.L   	   00:00:04:25	   00:00:05:03	   00:00:00:08	Unmuted
1       	5       	Heartbeat Tempo Mapped-37.L   	   00:00:05:03	   00:00:05:21	   00:00:00:17	Unmuted
1       	6       	Heartbeat Tempo Mapped-38.L   	   00:00:05:21	   00:00:06:00	   00:00:00:08	Unmuted
1       	7       	Heartbeat Tempo Mapped-39.L   	   00:00:06:00	   00:00:06:17	   00:00:00:17	Unmuted
1       	8       	Heartbeat Tempo Mapped-84.L   	   00:00:06:17	   00:00:06:25	   00:00:00:08	Unmuted
1       	9       	Heartbeat Tempo Mapped-85.L   	   00:00:06:25	   00:00:06:25	   00:00:00:00	Unmuted
1       	10      	Heartbeat Tempo Mapped-42.L   	   00:00:06:25	   00:00:07:13	   00:00:00:17	Unmuted
1       	11      	Heartbeat Tempo Mapped-34.L   	   00:00:07:13	   00:00:07:20	   00:00:00:07	Unmuted
1       	12      	Heartbeat Tempo Mapped-35.L   	   00:00:07:20	   00:00:08:08	   00:00:00:18	Unmuted
1       	13      	Heartbeat Tempo Mapped-36.L   	   00:00:08:08	   00:00:08:16	   00:00:00:07	Unmuted
1       	14      	Heartbeat Tempo Mapped-37.L   	   00:00:08:16	   00:00:09:04	   00:00:00:17	Unmuted
1       	15      	Heartbeat Tempo Mapped-38.L   	   00:00:09:04	   00:00:09:12	   00:00:00:08	Unmuted
1       	16      	Heartbeat Tempo Mapped-39.L   	   00:00:09:12	   00:00:10:00	   00:00:00:17	Unmuted
1       	17      	Heartbeat Tempo Mapped-84.L   	   00:00:10:00	   00:00:10:08	   00:00:00:08	Unmuted
1       	18      	Heartbeat Tempo Mapped-86.L   	   00:00:10:08	   00:00:10:08	   00:00:00:00	Unmuted
1       	19      	Heartbeat Tempo Mapped-42.L   	   00:00:10:08	   00:00:10:26	   00:00:00:17	Unmuted
1       	20      	Heartbeat Tempo Mapped-34.L   	   00:00:10:26	   00:00:11:03	   00:00:00:07	Unmuted
1       	21      	Heartbeat Tempo Mapped-35.L   	   00:00:11:03	   00:00:11:21	   00:00:00:18	Unmuted
1       	22      	Heartbeat Tempo Mapped-36.L   	   00:00:11:21	   00:00:11:29	   00:00:00:07	Unmuted
1       	23      	Heartbeat Tempo Mapped-37.L   	   00:00:11:29	   00:00:12:17	   00:00:00:17	Unmuted
1       	24      	Heartbeat Tempo Mapped-38.L   	   00:00:12:17	   00:00:12:25	   00:00:00:08	Unmuted
1       	25      	Heartbeat Tempo Mapped-39.L   	   00:00:12:25	   00:00:13:13	   00:00:00:17	Unmuted
