group,Sample
0,6252
1,3497
2,5682
3,5855
5,4274
6,5581
7,3752
9,5023
10,5643
11,3917
12,5436
14,4829
15,3928
16,5385
18,5610
19,4132
20,5366
22,6165
23,4404
24,4877
25,5814
27,5749
28,5227
29,4444
31,5523
32,5842
33,4961
35,4826
36,4341
37,6546
38,4747
40,2409
41,6710
42,4860
44,3215
45,5842
46,4179
48,2928
49,5059
50,4350
51,2936
53,4412
54,3064
55,3592
57,3593
58,1862
59,3469
60,3664
62,2407
63,2532
64,1953
66,2627
67,3528
68,1678
70,3127
71,3780
72,2702
73,2260
75,3330
76,3341
77,3110
79,3788
80,3899
81,4102
83,1281
84,3372
85,4912
86,3813
88,2921
89,1312
90,5251
92,2628
93,1175
94,6658
96,1140
97,1062
98,5185
99,3144
101,2487
102,2544
103,4974
105,2371
106,2937
107,6062
109,2962
110,3322
111,3920
112,3695
114,4345
115,2672
116,4010
118,5651
119,2423
120,3417
121,4488
123,3740
124,5252
125,3421
127,4232
128,5039
129,4207
131,5608
132,4301
133,4660
134,5468
136,4194
137,5763
138,4861
140,4084
141,5830
142,3920
144,4897
145,5464
146,3914
147,5220
149,4841
150,4486
151,3981
153,4734
154,5832
155,4117
157,4565
158,5168
159,5657
160,6972
162,5052
163,5695
164,6437
166,4092
167,6517
168,6051
170,5049
171,6566
172,4200
173,6386
175,6311
176,2367
177,7173
179,7664
180,1483
181,6163
182,6865
184,3559
185,7856
186,4747
188,7030
189,6229
190,2981
192,9654
193,4564
194,6678
195,7979
197,3924
198,8645
199,3711
201,5839
202,9499
203,2286
205,5044
206,7239
207,4223
208,5284
210,4409
211,5139
212,4435
214,3418
215,5237
216,3837
218,4452
219,3909
220,3923
221,4588
223,3383
224,4151
225,3969
227,4286
228,3247
229,4797
231,5009
232,1422
233,5167
234,4483
236,1037
237,4457
238,4061
240,2053
241,2078
242,2760
243,3192
245,3961
246,3396
247,1104
249,4146
250,2166
251,2275
253,5706
254,1567
255,4944
256,3761
258,2949
259,7992
260,2172
262,3352
263,7678
264,4415
266,4256
267,4905
268,5504
269,4975
271,4703
272,5843
273,3893
275,4984
276,5809
277,4941
279,3858
280,4735
281,6988
282,3325
284,5675
285,5139
286,2789
288,7950
289,4575
290,3533
291,6359
293,4310
294,4188
295,6415
297,5786
298,2329
299,5850
301,5910
302,2036
303,5327
304,3968
306,2836
307,4596
308,2684
310,2777
311,3054
312,2509
314,2706
315,2264
316,2413
317,2171
319,2100
320,2559
321,2556
323,3811
324,2682
325,2444
327,3118
328,3309
329,6743
330,3452
332,1867
333,6410
334,4983
336,3602
337,6128
338,6004
340,3857
341,6100
342,7047
343,5045
345,5997
346,6568
347,6593
349,6545
350,6420
351,7283
352,6312
354,6614
355,6823
356,6563
358,7953
359,6406
360,6361
362,7711
363,6796
364,6678
365,7500
367,7248
368,6670
369,7245
371,6964
372,7215
373,6944
375,6336
376,6784
377,6063
378,6711
380,5407
381,5282
382,6944
384,3688
385,4644
386,5483
388,3695
389,4173
390,2795
391,4416
393,1974
394,1765
395,5259
397,-96
398,1740
399,3035
401,912
402,1473
403,1104
404,3073
406,-990
407,838
408,2981
410,-508
411,1114
412,1308
413,1959
415,1639
416,365
417,1036
419,2323
420,2787
421,2362
423,1140
424,1369
425,3460
426,4509
428,2358
429,363
430,5497
432,3157
433,1106
434,7068
436,2472
437,957
438,5382
439,5860
441,2448
442,1719
443,6391
445,3526
446,3492
447,4001
449,2492
450,5904
451,3010
452,2838
454,4496
455,4338
456,4271
458,2244
459,5800
460,4563
462,2241
463,5822
464,4104
465,3419
467,4187
468,4303
469,4602
471,3285
472,4731
473,3959
474,4064
476,4343
477,3451
478,5947
480,3234
481,3472
482,5740
484,3134
485,4582
486,4616
487,3670
489,4492
490,4446
491,4823
493,4088
494,5155
495,5167
497,4211
498,5138
499,5224
500,5743
502,4870
503,5063
504,6939
506,5799
507,5579
508,6454
510,6339
511,7467
512,6579
513,6843
515,8008
516,6765
517,8222
519,8401
520,7858
521,8523
522,8990
524,9258
525,8714
526,9903
528,9172
529,8792
530,10227
532,9470
533,9712
534,9651
535,9076
537,9897
538,9088
539,9200
541,9237
542,8019
543,9059
545,8149
546,8239
547,7846
548,5907
550,7881
551,6596
552,6251
554,5953
555,4288
556,5988
558,4169
559,5081
560,4244
561,2920
563,5321
564,2686
565,5004
567,3829
568,1584
569,5691
571,2444
572,3319
573,5459
574,3457
576,4286
577,3436
578,4668
580,4659
581,3612
582,5112
583,4567
585,4115
586,4161
587,4066
589,4506
590,3582
591,2974
593,4205
594,3035
595,2711
596,2671
598,2083
599,3970
600,1579
602,1050
603,2926
604,899
606,1293
607,1424
608,1330
609,1220
611,330
612,1388
613,-46
615,-97
616,641
617,-208
619,270
620,45
621,124
622,-396
624,-216
625,557
626,497
628,1003
629,8
630,662
632,2061
633,1230
634,1905
635,2130
637,2713
638,3680
639,2715
641,4396
642,4355
643,4096
644,5898
646,4369
647,6069
648,6792
650,6103
651,7723
652,5795
654,6252
655,8116
656,7027
657,6759
659,6877
660,6201
661,6205
663,6802
664,6181
665,4516
667,4835
668,6366
669,4521
670,3594
672,4319
673,3286
674,3898
676,4112
677,2958
678,2940
680,3373
681,2965
682,2934
683,3071
685,2436
686,3115
687,3215
689,2668
690,2535
691,2807
693,3324
694,2984
695,2562
696,2799
698,3537
699,3043
700,3565
702,3965
703,3187
704,4170
705,4642
707,3755
708,3859
709,5672
711,4598
712,4248
713,6403
715,5452
716,5787
717,5527
718,5685
720,6525
721,5464
722,6761
724,5999
725,7202
726,6737
728,5550
729,7131
730,5400
731,7726
733,6036
734,6420
735,7942
737,4277
738,8103
739,8276
741,3489
742,6578
743,9862
744,3167
746,6326
747,10937
748,3436
750,5967
751,8978
752,4916
754,6407
755,8031
756,4035
757,5926
759,7606
760,3750
761,6815
763,6753
764,4512
765,5882
766,4404
768,5197
769,5458
770,4743
772,5763
773,4443
774,4151
776,5516
777,4454
778,4805
779,5511
781,3101
782,5080
783,5952
785,4006
786,4853
787,4237
789,5196
790,5485
791,4880
792,5326
794,4550
795,6178
796,6573
798,4460
799,6075
800,6822
802,5842
803,6223
804,6327
805,7362
807,4651
808,6461
809,7690
811,4048
812,7356
813,5465
814,5616
816,6590
817,3671
818,6530
820,5874
821,3798
822,5150
824,5965
825,3816
826,3643
827,5220
829,3796
830,2894
831,4664
833,3661
834,2417
835,4570
837,2666
838,2769
839,3307
840,2042
842,3855
843,2733
844,2407
846,2394
847,1780
848,3600
850,1770
851,1208
852,3779
853,480
855,1800
856,3184
857,906
859,4998
860,-2
861,-241
863,5181
864,1176
865,1779
866,1961
868,1686
869,2533
870,2334
872,2478
873,1321
874,3250
875,2509
877,1494
878,3992
879,2420
881,2167
882,4064
883,3127
885,2844
886,3953
887,3240
888,3702
890,4646
891,3458
892,4107
894,4517
895,4501
896,4447
898,4902
899,3963
900,4292
901,6448
903,3096
904,4183
905,6408
907,4391
908,3622
909,4453
911,5867
912,4435
913,3798
914,4391
916,5991
917,5240
918,3121
920,3955
921,6290
922,5591
924,2094
925,6281
926,8439
927,1633
929,3554
930,8981
931,5674
933,5982
934,4487
935,8410
936,7501
938,3573
939,13031
940,4361
942,6764
943,11499
944,6794
946,9257
947,5406
948,11984
949,8020
951,5185
952,11647
953,6277
955,7159
956,8953
957,5715
959,7616
960,6761
961,4965
962,8412
964,4829
965,4682
966,7346
968,4196
969,4642
970,5808
972,4368
973,3992
974,5087
975,3139
977,4469
978,4486
979,2877
981,4866
982,3549
983,4046
985,4260
986,3494
987,4532
988,3776
990,3819
991,4825
992,3277
994,3508
995,4772
996,3188
997,4072
999,3146
1000,2216
1001,4582
1003,3328
1004,1157
1005,3916
1007,2906
1008,1508
1009,3979
1010,1151
1012,2736
1013,2634
1014,754
1016,2760
1017,2610
1018,1188
1020,1603
1021,3129
1022,1153
1023,3327
1025,2487
1026,2094
1027,4809
1029,2219
1030,3869
1031,4928
1033,3314
1034,4917
1035,6122
1036,4035
1038,5611
1039,6800
1040,3844
1042,7509
1043,7230
1044,5003
1045,7025
1047,7120
1048,7624
1049,6286
1051,7174
1052,7648
1053,7373
1055,7165
1056,5711
1057,8000
1058,7010
1060,5595
1061,6698
1062,5262
1064,6566
1065,6367
1066,3610
1068,5531
1069,5715
1070,3694
1071,4460
1073,4775
1074,4083
1075,4548
1077,4065
1078,3217
1079,5305
1081,4784
1082,3389
1083,4830
1084,3969
1086,4504
1087,4922
1088,4900
1090,6388
1091,4021
1092,5292
1094,5373
1095,2398
1096,6490
1097,5348
1099,3438
1100,6082
1101,4001
1103,4122
1104,4915
1105,3760
1106,3943
1108,3842
1109,4509
1110,4134
1112,2480
1113,3598
1114,4163
1116,3605
1117,4076
1118,2770
1119,3198
1121,3929
1122,3343
1123,3526
1125,3318
1126,3477
1127,3344
1129,3923
1130,3466
1131,3174
1132,4426
1134,4086
1135,3689
1136,4297
1138,4575
1139,4247
1140,4808
1142,4513
1143,4999
1144,5299
1145,4149
1147,6462
1148,6334
1149,4139
1151,5995
1152,6915
1153,5768
1155,5937
1156,6172
1157,6177
1158,6541
1160,6560
1161,6263
1162,6255
1164,6475
1165,6030
1166,6852
1167,6295
1169,6253
1170,7248
1171,5208
1173,6274
1174,6420
1175,5207
1177,6629
1178,5171
1179,4737
1180,6184
1182,4924
1183,4061
1184,4875
1186,5091
1187,3418
1188,3642
1190,4991
1191,2992
1192,3567
1193,4384
1195,3258
1196,3627
1197,4156
1199,2945
1200,3073
1201,4902
1203,2743
1204,4173
1205,3764
1206,2183
1208,5107
1209,2914
1210,3709
1212,4000
1213,2698
1214,4487
1216,3767
1217,4644
1218,4012
1219,3383
1221,4900
1222,4326
1223,4412
1225,4338
1226,3270
1227,4536
1228,5845
1230,2725
1231,2604
1232,7593
1234,2762
1235,445
1236,9141
1238,3348
1239,737
1240,6622
1241,4968
1243,4012
1244,1944
1245,7466
1247,4890
1248,585
1249,9006
1251,4994
1252,2792
1253,6853
1254,4704
1256,4552
1257,6474
1258,5517
1260,4018
1261,6856
1262,6321
1264,3767
1265,7228
1266,7108
1267,4326
1269,6259
1270,8021
1271,5620
1273,5375
1274,8798
1275,6027
1277,5159
1278,9489
1279,5938
1280,6020
1282,9253
1283,5546
1284,7645
1286,7052
1287,5032
1288,8836
1289,5820
1291,5289
1292,7216
1293,5043
1295,5689
1296,5333
1297,4815
1299,4868
1300,3372
1301,4927
1302,4826
1304,2821
1305,3057
1306,3173
1308,3887
1309,2415
1310,1875
1312,3603
1313,440
1314,1514
1315,3689
1317,-255
1318,1044
1319,1791
1321,944
1322,1323
1323,397
1325,2228
1326,907
1327,839
1328,2128
1330,382
1331,2343
1332,2334
1334,882
1335,2511
1336,2427
1337,2179
1339,3546
1340,1787
1341,2211
1343,5565
1344,3116
1345,3035
1347,5926
1348,3475
1349,4494
1350,7117
1352,4091
1353,6158
1354,6284
1356,4430
1357,7457
1358,5211
1360,6845
1361,7072
1362,4379
1363,7144
1365,6285
1366,5552
1367,6650
1369,6692
1370,5119
1371,6323
1373,6777
1374,5139
1375,6654
1376,5889
1378,6234
1379,5766
1380,6092
1382,7305
1383,5266
1384,6277
1386,6668
1387,7086
1388,7496
1389,5834
1391,7065
1392,7780
1393,7612
1395,7799
1396,7086
1397,7633
1398,8147
1400,8455
1401,7800
1402,7300
1404,8305
1405,7596
1406,7071
1408,7590
1409,6748
1410,6746
1411,6417
1413,5197
1414,6668
1415,5498
1417,3755
1418,5655
1419,4249
1421,3541
1422,4764
1423,3091
1424,2793
1426,3670
1427,3168
1428,3114
1430,2853
1431,2193
1432,3323
1434,3192
1435,1837
1436,2395
1437,2660
1439,2256
1440,2039
1441,1955
1443,2161
1444,2443
1445,1655
1447,1794
1448,2364
1449,1787
1450,2672
1452,1969
1453,1847
1454,2770
1456,1960
1457,2475
1458,2165
1459,2310
1461,3187
1462,2365
1463,2636
1465,3402
1466,3239
1467,2857
1469,3230
1470,4341
1471,3527
1472,3216
1474,4772
1475,4436
1476,4192
1478,5786
1479,4758
1480,4972
1482,7643
1483,3660
1484,3648
1485,5272
1487,5049
1488,8573
1489,6224
1491,6557
1492,4617
1493,3304
1495,7595
1496,7475
1497,6435
1498,5352
1500,6262
1501,5415
1502,6935
1504,4548
1505,4171
1506,8832
1508,3746
1509,4563
1510,7450
