,depth,W
0,-0.5,3.306814341688414e-05
1,-0.9280628248875243,3.135483978734204e-05
2,-1.3561256497750487,2.9641536157799943e-05
3,-1.7841884746625731,2.7932744871630684e-05
4,-2.2122512995500974,2.622845947075048e-05
5,-2.6403141244376216,2.4524174069870274e-05
6,-3.0683769493251463,2.283015738896305e-05
7,-3.4964397742126705,2.1141662453300328e-05
8,-3.9245025991001947,1.9453167517637604e-05
9,-4.352565423987719,1.7768948271299893e-05
10,-4.780628248875243,1.609137534335953e-05
11,-5.208691073762767,1.441380241541917e-05
12,-5.6367538986502925,1.2736229487478806e-05
13,-6.064816723537817,1.1069774329581244e-05
14,-6.492879548425341,9.408910469454104e-06
15,-6.920942373312865,7.748046609326964e-06
16,-7.349005198200389,6.087182749199825e-06
17,-7.777068023087914,4.4404939593107915e-06
18,-8.205130847975438,2.812958009698181e-06
19,-8.633193672862962,1.1854220600855703e-06
20,-9.061256497750486,-4.421138895270407e-07
21,-9.48931932263801,-2.0696498391396513e-06
22,-9.917382147525535,-3.672427319068212e-06
23,-10.345444972413059,-5.25878703872254e-06
24,-10.773507797300585,-6.845146758376874e-06
25,-11.20157062218811,-8.431506478031203e-06
26,-11.629633447075634,-1.001786619768553e-05
27,-12.057696271963158,-1.1596434883003834e-05
28,-12.485759096850682,-1.3112873644812055e-05
29,-12.913821921738206,-1.4629312406620276e-05
30,-13.34188474662573,-1.6145751168428493e-05
31,-13.769947571513255,-1.7662189930236714e-05
32,-14.198010396400779,-1.9178628692044935e-05
33,-14.626073221288303,-2.0695067453853156e-05
34,-15.054136046175827,-2.210128555664821e-05
35,-15.482198871063352,-2.3491616864460563e-05
36,-15.910261695950876,-2.488194817227292e-05
37,-16.3383245208384,-2.627227948008527e-05
38,-16.766387345725924,-2.7662610787897632e-05
39,-17.19445017061345,-2.9052942095709996e-05
40,-17.622512995500973,-3.0443273403522345e-05
41,-18.0505758203885,-3.15805247142502e-05
42,-18.47863864527602,-3.2657367070105644e-05
43,-18.906701470163547,-3.3734209425961096e-05
44,-19.33476429505107,-3.4811051781816535e-05
45,-19.762827119938596,-3.588789413767199e-05
46,-20.190889944826118,-3.6964736493527433e-05
47,-20.618952769713644,-3.8041578849382886e-05
48,-21.04701559460117,-3.911842120523834e-05
49,-21.475078419488693,-3.944825960930463e-05
50,-21.90314124437622,-3.9611693396493087e-05
51,-22.33120406926374,-3.977512718368155e-05
52,-22.759266894151267,-3.993856097087001e-05
53,-23.18732971903879,-4.010199475805848e-05
54,-23.615392543926315,-4.026542854524694e-05
55,-24.043455368813838,-4.0428862332435405e-05
56,-24.471518193701364,-4.0592296119623864e-05
57,-24.899581018588886,-4.075572990681233e-05
58,-25.327643843476412,-4.110036666920598e-05
59,-25.755706668363935,-4.1493528409855115e-05
60,-26.18376949325146,-4.1886690150504256e-05
61,-26.611832318138983,-4.227985189115339e-05
62,-27.03989514302651,-4.267301363180253e-05
63,-27.46795796791403,-4.3066175372451665e-05
